time_lsl,t_device,x_mG,y_mG,z_mG,device,seq,fs,range_g
222967.4320309331,1756024859.741545,-805,61,482,H10,1,50.0,4
222967.45203093308,1756024859.741545,-811,69,477,H10,1,50.0,4
222967.4720309331,1756024859.741545,-807,64,473,H10,1,50.0,4
222967.4920309331,1756024859.741545,-795,63,479,H10,1,50.0,4
222967.51203093308,1756024859.741545,-793,64,485,H10,1,50.0,4
222967.5320309331,1756024859.741545,-799,65,482,H10,1,50.0,4
222967.5520309331,1756024859.741545,-806,63,479,H10,1,50.0,4
222967.5720309331,1756024859.741545,-807,63,478,H10,1,50.0,4
222967.5920309331,1756024859.741545,-801,56,480,H10,1,50.0,4
222967.6120309331,1756024859.741545,-802,55,481,H10,1,50.0,4
222967.6320309331,1756024859.741545,-802,57,480,H10,1,50.0,4
222967.6520309331,1756024859.741545,-801,60,482,H10,1,50.0,4
222967.67203093308,1756024859.741545,-800,60,484,H10,1,50.0,4
222967.6920309331,1756024859.741545,-800,61,484,H10,1,50.0,4
222967.7120309331,1756024859.741545,-801,58,488,H10,1,50.0,4
222967.73203093308,1756024859.741545,-805,63,484,H10,1,50.0,4
222967.7520309331,1756024859.741545,-802,61,479,H10,1,50.0,4
222967.7720309331,1756024859.741545,-795,62,485,H10,1,50.0,4
222967.79203093308,1756024859.741545,-795,62,488,H10,1,50.0,4
222967.8120309331,1756024859.741545,-797,63,489,H10,1,50.0,4
222967.8320309331,1756024859.741545,-799,64,488,H10,1,50.0,4
222967.8520309331,1756024859.741545,-799,62,484,H10,1,50.0,4
222967.8720309331,1756024859.741545,-798,64,483,H10,1,50.0,4
222967.8920309331,1756024859.741545,-798,62,483,H10,1,50.0,4
222967.9120309331,1756024859.741545,-796,63,484,H10,1,50.0,4
222967.9320309331,1756024859.741545,-795,60,485,H10,1,50.0,4
222967.95203093308,1756024859.741545,-795,61,485,H10,1,50.0,4
222967.9720309331,1756024859.741545,-795,65,487,H10,1,50.0,4
222967.9920309331,1756024859.741545,-798,65,490,H10,1,50.0,4
222968.01203093308,1756024859.741545,-798,66,488,H10,1,50.0,4
222968.0320309331,1756024859.741545,-796,65,488,H10,1,50.0,4
222968.0520309331,1756024859.741545,-795,61,488,H10,1,50.0,4
222968.0720309331,1756024859.741545,-794,62,489,H10,1,50.0,4
222968.0920309331,1756024859.741545,-794,62,491,H10,1,50.0,4
222968.1120309331,1756024859.741545,-794,64,491,H10,1,50.0,4
222968.1320309331,1756024859.741545,-794,63,493,H10,1,50.0,4
222967.6312539218,1756024859.956891,-794,64,491,H10,2,50.0,4
222967.6512539218,1756024859.956891,-795,65,491,H10,2,50.0,4
222967.6712539218,1756024859.956891,-793,65,491,H10,2,50.0,4
222967.6912539218,1756024859.956891,-793,66,492,H10,2,50.0,4
222967.7112539218,1756024859.956891,-793,66,494,H10,2,50.0,4
222967.7312539218,1756024859.956891,-794,64,490,H10,2,50.0,4
222967.7512539218,1756024859.956891,-795,67,490,H10,2,50.0,4
222967.77125392182,1756024859.956891,-796,65,489,H10,2,50.0,4
222967.7912539218,1756024859.956891,-797,62,487,H10,2,50.0,4
222967.8112539218,1756024859.956891,-792,59,484,H10,2,50.0,4
222967.83125392182,1756024859.956891,-783,64,498,H10,2,50.0,4
222967.8512539218,1756024859.956891,-790,69,489,H10,2,50.0,4
222967.8712539218,1756024859.956891,-789,68,484,H10,2,50.0,4
222967.8912539218,1756024859.956891,-783,68,492,H10,2,50.0,4
222967.9112539218,1756024859.956891,-786,67,498,H10,2,50.0,4
222967.9312539218,1756024859.956891,-794,66,489,H10,2,50.0,4
222967.9512539218,1756024859.956891,-795,68,480,H10,2,50.0,4
222967.9712539218,1756024859.956891,-789,67,480,H10,2,50.0,4
222967.9912539218,1756024859.956891,-788,64,488,H10,2,50.0,4
222968.0112539218,1756024859.956891,-789,66,493,H10,2,50.0,4
222968.0312539218,1756024859.956891,-791,68,494,H10,2,50.0,4
222968.05125392182,1756024859.956891,-792,71,495,H10,2,50.0,4
222968.0712539218,1756024859.956891,-797,69,494,H10,2,50.0,4
222968.0912539218,1756024859.956891,-794,67,493,H10,2,50.0,4
222968.11125392182,1756024859.956891,-794,68,494,H10,2,50.0,4
222968.1312539218,1756024859.956891,-798,65,489,H10,2,50.0,4
222968.1512539218,1756024859.956891,-797,65,485,H10,2,50.0,4
222968.1712539218,1756024859.956891,-789,64,492,H10,2,50.0,4
222968.1912539218,1756024859.956891,-789,66,493,H10,2,50.0,4
222968.2112539218,1756024859.956891,-793,66,492,H10,2,50.0,4
222968.2312539218,1756024859.956891,-794,67,490,H10,2,50.0,4
222968.2512539218,1756024859.956891,-795,68,487,H10,2,50.0,4
222968.27125392182,1756024859.956891,-795,67,489,H10,2,50.0,4
222968.2912539218,1756024859.956891,-796,65,486,H10,2,50.0,4
222968.3112539218,1756024859.956891,-795,64,485,H10,2,50.0,4
222968.33125392182,1756024859.956891,-795,66,487,H10,2,50.0,4
222968.35619555824,1756024860.6786861,-793,67,490,H10,3,50.0,4
222968.37619555823,1756024860.6786861,-795,65,492,H10,3,50.0,4
222968.39619555825,1756024860.6786861,-796,66,491,H10,3,50.0,4
222968.41619555824,1756024860.6786861,-797,64,488,H10,3,50.0,4
222968.43619555823,1756024860.6786861,-796,66,489,H10,3,50.0,4
222968.45619555825,1756024860.6786861,-794,66,487,H10,3,50.0,4
222968.47619555824,1756024860.6786861,-797,66,487,H10,3,50.0,4
222968.49619555825,1756024860.6786861,-796,65,486,H10,3,50.0,4
222968.51619555824,1756024860.6786861,-795,68,485,H10,3,50.0,4
222968.53619555823,1756024860.6786861,-795,66,484,H10,3,50.0,4
222968.55619555825,1756024860.6786861,-795,65,483,H10,3,50.0,4
222968.57619555824,1756024860.6786861,-796,62,484,H10,3,50.0,4
222968.59619555823,1756024860.6786861,-796,65,485,H10,3,50.0,4
222968.61619555825,1756024860.6786861,-798,67,488,H10,3,50.0,4
222968.63619555824,1756024860.6786861,-797,66,485,H10,3,50.0,4
222968.65619555823,1756024860.6786861,-797,65,486,H10,3,50.0,4
222968.67619555825,1756024860.6786861,-803,67,481,H10,3,50.0,4
222968.69619555824,1756024860.6786861,-802,65,480,H10,3,50.0,4
222968.71619555823,1756024860.6786861,-798,59,484,H10,3,50.0,4
222968.73619555825,1756024860.6786861,-796,56,488,H10,3,50.0,4
222968.75619555824,1756024860.6786861,-799,62,484,H10,3,50.0,4
222968.77619555825,1756024860.6786861,-802,62,476,H10,3,50.0,4
222968.79619555824,1756024860.6786861,-798,63,483,H10,3,50.0,4
222968.81619555823,1756024860.6786861,-794,69,486,H10,3,50.0,4
222968.83619555825,1756024860.6786861,-801,68,484,H10,3,50.0,4
222968.85619555824,1756024860.6786861,-807,66,475,H10,3,50.0,4
222968.87619555823,1756024860.6786861,-807,66,477,H10,3,50.0,4
222968.89619555825,1756024860.6786861,-802,65,477,H10,3,50.0,4
222968.91619555824,1756024860.6786861,-797,65,478,H10,3,50.0,4
222968.93619555823,1756024860.6786861,-799,64,481,H10,3,50.0,4
222968.95619555825,1756024860.6786861,-800,68,482,H10,3,50.0,4
222968.97619555824,1756024860.6786861,-804,67,483,H10,3,50.0,4
222968.99619555825,1756024860.6786861,-804,66,479,H10,3,50.0,4
222969.01619555824,1756024860.6786861,-804,65,480,H10,3,50.0,4
222969.03619555823,1756024860.6786861,-804,64,481,H10,3,50.0,4
222969.05619555825,1756024860.6786861,-804,60,477,H10,3,50.0,4
222969.07420172883,1756024861.398048,-797,60,480,H10,4,50.0,4
222969.09420172882,1756024861.398048,-796,60,481,H10,4,50.0,4
222969.11420172884,1756024861.398048,-800,61,484,H10,4,50.0,4
222969.13420172883,1756024861.398048,-804,63,481,H10,4,50.0,4
222969.15420172882,1756024861.398048,-803,59,480,H10,4,50.0,4
222969.17420172883,1756024861.398048,-804,60,478,H10,4,50.0,4
222969.19420172882,1756024861.398048,-803,61,476,H10,4,50.0,4
222969.21420172884,1756024861.398048,-802,59,475,H10,4,50.0,4
222969.23420172883,1756024861.398048,-800,62,476,H10,4,50.0,4
222969.25420172882,1756024861.398048,-798,62,478,H10,4,50.0,4
222969.27420172884,1756024861.398048,-798,62,478,H10,4,50.0,4
222969.29420172883,1756024861.398048,-799,63,480,H10,4,50.0,4
222969.31420172882,1756024861.398048,-804,64,480,H10,4,50.0,4
222969.33420172884,1756024861.398048,-802,67,476,H10,4,50.0,4
222969.35420172883,1756024861.398048,-803,66,477,H10,4,50.0,4
222969.37420172882,1756024861.398048,-801,66,475,H10,4,50.0,4
222969.39420172884,1756024861.398048,-799,66,477,H10,4,50.0,4
222969.41420172882,1756024861.398048,-800,66,475,H10,4,50.0,4
222969.4342017288,1756024861.398048,-802,64,477,H10,4,50.0,4
222969.45420172883,1756024861.398048,-800,64,478,H10,4,50.0,4
222969.47420172882,1756024861.398048,-800,63,478,H10,4,50.0,4
222969.49420172884,1756024861.398048,-802,64,479,H10,4,50.0,4
222969.51420172883,1756024861.398048,-801,65,478,H10,4,50.0,4
222969.53420172882,1756024861.398048,-804,66,477,H10,4,50.0,4
222969.55420172884,1756024861.398048,-803,65,478,H10,4,50.0,4
222969.57420172883,1756024861.398048,-799,65,478,H10,4,50.0,4
222969.59420172882,1756024861.398048,-801,64,477,H10,4,50.0,4
222969.61420172884,1756024861.398048,-808,64,471,H10,4,50.0,4
222969.63420172883,1756024861.398048,-800,63,473,H10,4,50.0,4
222969.65420172882,1756024861.398048,-798,56,479,H10,4,50.0,4
222969.67420172883,1756024861.398048,-799,57,480,H10,4,50.0,4
222969.69420172882,1756024861.398048,-804,66,476,H10,4,50.0,4
222969.71420172884,1756024861.398048,-803,63,470,H10,4,50.0,4
222969.73420172883,1756024861.398048,-795,67,479,H10,4,50.0,4
222969.75420172882,1756024861.398048,-795,67,484,H10,4,50.0,4
222969.77420172884,1756024861.398048,-805,67,476,H10,4,50.0,4
222969.79471736087,1756024862.116689,-810,63,471,H10,5,50.0,4
222969.81471736086,1756024862.116689,-806,60,471,H10,5,50.0,4
