time_lsl,t_device,uV,device,seq,fs
222967.6516982272,1756024859.821126,-146,H10,1,130.0
222967.6593905349,1756024859.821126,-149,H10,1,130.0
222967.66708284258,1756024859.821126,-153,H10,1,130.0
222967.67477515026,1756024859.821126,-144,H10,1,130.0
222967.68246745795,1756024859.821126,-122,H10,1,130.0
222967.69015976565,1756024859.821126,-108,H10,1,130.0
222967.69785207335,1756024859.821126,-105,H10,1,130.0
222967.70554438102,1756024859.821126,-117,H10,1,130.0
222967.71323668872,1756024859.821126,-137,H10,1,130.0
222967.72092899642,1756024859.821126,-146,H10,1,130.0
222967.72862130412,1756024859.821126,-141,H10,1,130.0
222967.7363136118,1756024859.821126,-141,H10,1,130.0
222967.7440059195,1756024859.821126,-146,H10,1,130.0
222967.7516982272,1756024859.821126,-144,H10,1,130.0
222967.7593905349,1756024859.821126,-144,H10,1,130.0
222967.76708284256,1756024859.821126,-146,H10,1,130.0
222967.77477515026,1756024859.821126,-141,H10,1,130.0
222967.78246745796,1756024859.821126,-139,H10,1,130.0
222967.79015976566,1756024859.821126,-141,H10,1,130.0
222967.79785207333,1756024859.821126,-144,H10,1,130.0
222967.80554438103,1756024859.821126,-158,H10,1,130.0
222967.81323668873,1756024859.821126,-129,H10,1,130.0
222967.82092899643,1756024859.821126,98,H10,1,130.0
222967.8286213041,1756024859.821126,490,H10,1,130.0
222967.8363136118,1756024859.821126,579,H10,1,130.0
222967.8440059195,1756024859.821126,137,H10,1,130.0
222967.8516982272,1756024859.821126,-259,H10,1,130.0
222967.85939053487,1756024859.821126,-211,H10,1,130.0
222967.86708284257,1756024859.821126,-120,H10,1,130.0
222967.87477515027,1756024859.821126,-187,H10,1,130.0
222967.88246745797,1756024859.821126,-197,H10,1,130.0
222967.89015976564,1756024859.821126,-158,H10,1,130.0
222967.89785207334,1756024859.821126,-175,H10,1,130.0
222967.90554438104,1756024859.821126,-182,H10,1,130.0
222967.91323668874,1756024859.821126,-163,H10,1,130.0
222967.9209289964,1756024859.821126,-161,H10,1,130.0
222967.9286213041,1756024859.821126,-161,H10,1,130.0
222967.9363136118,1756024859.821126,-151,H10,1,130.0
222967.9440059195,1756024859.821126,-149,H10,1,130.0
222967.95169822717,1756024859.821126,-146,H10,1,130.0
222967.95939053487,1756024859.821126,-139,H10,1,130.0
222967.96708284257,1756024859.821126,-132,H10,1,130.0
222967.97477515027,1756024859.821126,-127,H10,1,130.0
222967.98246745794,1756024859.821126,-122,H10,1,130.0
222967.99015976564,1756024859.821126,-117,H10,1,130.0
222967.99785207334,1756024859.821126,-110,H10,1,130.0
222968.00554438104,1756024859.821126,-105,H10,1,130.0
222968.0132366887,1756024859.821126,-98,H10,1,130.0
222968.0209289964,1756024859.821126,-88,H10,1,130.0
222968.0286213041,1756024859.821126,-84,H10,1,130.0
222968.0363136118,1756024859.821126,-79,H10,1,130.0
222968.04400591948,1756024859.821126,-72,H10,1,130.0
222968.05169822718,1756024859.821126,-67,H10,1,130.0
222968.05939053488,1756024859.821126,-62,H10,1,130.0
222968.06708284258,1756024859.821126,-57,H10,1,130.0
222968.07477515025,1756024859.821126,-52,H10,1,130.0
222968.08246745795,1756024859.821126,-48,H10,1,130.0
222968.09015976565,1756024859.821126,-50,H10,1,130.0
222968.09785207335,1756024859.821126,-52,H10,1,130.0
222968.10554438102,1756024859.821126,-57,H10,1,130.0
222968.11323668872,1756024859.821126,-67,H10,1,130.0
222968.12092899642,1756024859.821126,-81,H10,1,130.0
222968.12862130412,1756024859.821126,-98,H10,1,130.0
222968.1363136118,1756024859.821126,-117,H10,1,130.0
222968.1440059195,1756024859.821126,-141,H10,1,130.0
222968.1516982272,1756024859.821126,-158,H10,1,130.0
222968.1593905349,1756024859.821126,-170,H10,1,130.0
222968.16708284258,1756024859.821126,-180,H10,1,130.0
222968.17477515026,1756024859.821126,-182,H10,1,130.0
222968.18246745795,1756024859.821126,-185,H10,1,130.0
222968.19015976565,1756024859.821126,-187,H10,1,130.0
222968.19785207335,1756024859.821126,-187,H10,1,130.0
222968.20554438102,1756024859.821126,-187,H10,1,130.0
222968.1826030871,1756024860.3624969,-182,H10,2,130.0
222968.1902953948,1756024860.3624969,-177,H10,2,130.0
222968.1979877025,1756024860.3624969,-175,H10,2,130.0
222968.20568001017,1756024860.3624969,-175,H10,2,130.0
222968.21337231787,1756024860.3624969,-168,H10,2,130.0
222968.22106462557,1756024860.3624969,-163,H10,2,130.0
222968.22875693327,1756024860.3624969,-161,H10,2,130.0
222968.23644924094,1756024860.3624969,-158,H10,2,130.0
222968.24414154864,1756024860.3624969,-156,H10,2,130.0
222968.25183385634,1756024860.3624969,-153,H10,2,130.0
222968.25952616404,1756024860.3624969,-153,H10,2,130.0
222968.2672184717,1756024860.3624969,-153,H10,2,130.0
222968.2749107794,1756024860.3624969,-151,H10,2,130.0
222968.2826030871,1756024860.3624969,-149,H10,2,130.0
222968.2902953948,1756024860.3624969,-153,H10,2,130.0
222968.29798770248,1756024860.3624969,-158,H10,2,130.0
222968.30568001018,1756024860.3624969,-153,H10,2,130.0
222968.31337231788,1756024860.3624969,-151,H10,2,130.0
222968.32106462558,1756024860.3624969,-151,H10,2,130.0
222968.32875693325,1756024860.3624969,-153,H10,2,130.0
222968.33644924095,1756024860.3624969,-153,H10,2,130.0
222968.34414154864,1756024860.3624969,-151,H10,2,130.0
222968.35183385634,1756024860.3624969,-149,H10,2,130.0
222968.35952616401,1756024860.3624969,-146,H10,2,130.0
222968.3672184717,1756024860.3624969,-146,H10,2,130.0
222968.3749107794,1756024860.3624969,-144,H10,2,130.0
222968.3826030871,1756024860.3624969,-144,H10,2,130.0
222968.39029539478,1756024860.3624969,-144,H10,2,130.0
222968.39798770248,1756024860.3624969,-141,H10,2,130.0
222968.40568001018,1756024860.3624969,-139,H10,2,130.0
222968.41337231788,1756024860.3624969,-139,H10,2,130.0
222968.42106462555,1756024860.3624969,-139,H10,2,130.0
222968.42875693325,1756024860.3624969,-141,H10,2,130.0
222968.43644924095,1756024860.3624969,-139,H10,2,130.0
222968.44414154865,1756024860.3624969,-137,H10,2,130.0
222968.45183385632,1756024860.3624969,-137,H10,2,130.0
222968.45952616402,1756024860.3624969,-137,H10,2,130.0
222968.46721847172,1756024860.3624969,-134,H10,2,130.0
222968.47491077942,1756024860.3624969,-134,H10,2,130.0
222968.4826030871,1756024860.3624969,-134,H10,2,130.0
222968.4902953948,1756024860.3624969,-132,H10,2,130.0
222968.4979877025,1756024860.3624969,-132,H10,2,130.0
222968.5056800102,1756024860.3624969,-127,H10,2,130.0
222968.51337231786,1756024860.3624969,-129,H10,2,130.0
222968.52106462556,1756024860.3624969,-132,H10,2,130.0
222968.52875693326,1756024860.3624969,-134,H10,2,130.0
222968.53644924096,1756024860.3624969,-127,H10,2,130.0
222968.54414154863,1756024860.3624969,-110,H10,2,130.0
222968.55183385633,1756024860.3624969,-91,H10,2,130.0
222968.55952616403,1756024860.3624969,-81,H10,2,130.0
222968.56721847173,1756024860.3624969,-93,H10,2,130.0
222968.5749107794,1756024860.3624969,-110,H10,2,130.0
222968.5826030871,1756024860.3624969,-120,H10,2,130.0
222968.5902953948,1756024860.3624969,-120,H10,2,130.0
222968.5979877025,1756024860.3624969,-120,H10,2,130.0
222968.60568001017,1756024860.3624969,-120,H10,2,130.0
222968.61337231786,1756024860.3624969,-125,H10,2,130.0
222968.62106462556,1756024860.3624969,-127,H10,2,130.0
222968.62875693326,1756024860.3624969,-125,H10,2,130.0
222968.63644924093,1756024860.3624969,-122,H10,2,130.0
222968.64414154863,1756024860.3624969,-122,H10,2,130.0
222968.65183385633,1756024860.3624969,-122,H10,2,130.0
222968.65952616403,1756024860.3624969,-120,H10,2,130.0
222968.6672184717,1756024860.3624969,-127,H10,2,130.0
222968.6749107794,1756024860.3624969,-134,H10,2,130.0
222968.6826030871,1756024860.3624969,0,H10,2,130.0
222968.6902953948,1756024860.3624969,372,H10,2,130.0
222968.6979877025,1756024860.3624969,685,H10,2,130.0
222968.70568001017,1756024860.3624969,478,H10,2,130.0
222968.71337231787,1756024860.3624969,-48,H10,2,130.0
222968.72106462557,1756024860.3624969,-242,H10,2,130.0
222968.72875693327,1756024860.3624969,-129,H10,2,130.0
222968.73644924094,1756024860.3624969,-129,H10,2,130.0
222968.8045118713,1756024860.903545,-189,H10,3,130.0
222968.812204179,1756024860.903545,-163,H10,3,130.0
222968.8198964867,1756024860.903545,-151,H10,3,130.0
222968.82758879437,1756024860.903545,-170,H10,3,130.0
222968.83528110207,1756024860.903545,-161,H10,3,130.0
222968.84297340977,1756024860.903545,-144,H10,3,130.0
222968.85066571747,1756024860.903545,-146,H10,3,130.0
222968.85835802514,1756024860.903545,-144,H10,3,130.0
222968.86605033284,1756024860.903545,-134,H10,3,130.0
222968.87374264054,1756024860.903545,-132,H10,3,130.0
222968.88143494824,1756024860.903545,-127,H10,3,130.0
222968.8891272559,1756024860.903545,-125,H10,3,130.0
222968.8968195636,1756024860.903545,-120,H10,3,130.0
222968.9045118713,1756024860.903545,-115,H10,3,130.0
222968.912204179,1756024860.903545,-108,H10,3,130.0
222968.91989648668,1756024860.903545,-103,H10,3,130.0
222968.92758879438,1756024860.903545,-96,H10,3,130.0
222968.93528110208,1756024860.903545,-91,H10,3,130.0
222968.94297340978,1756024860.903545,-84,H10,3,130.0
222968.95066571745,1756024860.903545,-76,H10,3,130.0
222968.95835802515,1756024860.903545,-69,H10,3,130.0
222968.96605033285,1756024860.903545,-62,H10,3,130.0
222968.97374264055,1756024860.903545,-57,H10,3,130.0
222968.98143494822,1756024860.903545,-50,H10,3,130.0
222968.98912725592,1756024860.903545,-48,H10,3,130.0
222968.99681956362,1756024860.903545,-45,H10,3,130.0
222969.00451187132,1756024860.903545,-43,H10,3,130.0
222969.012204179,1756024860.903545,-43,H10,3,130.0
222969.0198964867,1756024860.903545,-45,H10,3,130.0
222969.0275887944,1756024860.903545,-50,H10,3,130.0
222969.0352811021,1756024860.903545,-60,H10,3,130.0
222969.04297340976,1756024860.903545,-67,H10,3,130.0
222969.05066571746,1756024860.903545,-81,H10,3,130.0
222969.05835802516,1756024860.903545,-98,H10,3,130.0
222969.06605033285,1756024860.903545,-117,H10,3,130.0
222969.07374264052,1756024860.903545,-132,H10,3,130.0
222969.08143494822,1756024860.903545,-144,H10,3,130.0
222969.08912725592,1756024860.903545,-151,H10,3,130.0
222969.09681956362,1756024860.903545,-158,H10,3,130.0
222969.1045118713,1756024860.903545,-158,H10,3,130.0
222969.112204179,1756024860.903545,-161,H10,3,130.0
222969.1198964867,1756024860.903545,-161,H10,3,130.0
222969.1275887944,1756024860.903545,-161,H10,3,130.0
222969.13528110206,1756024860.903545,-158,H10,3,130.0
222969.14297340976,1756024860.903545,-153,H10,3,130.0
222969.15066571746,1756024860.903545,-151,H10,3,130.0
222969.15835802516,1756024860.903545,-149,H10,3,130.0
222969.16605033283,1756024860.903545,-144,H10,3,130.0
222969.17374264053,1756024860.903545,-141,H10,3,130.0
222969.18143494823,1756024860.903545,-141,H10,3,130.0
222969.18912725593,1756024860.903545,-141,H10,3,130.0
222969.1968195636,1756024860.903545,-137,H10,3,130.0
222969.2045118713,1756024860.903545,-134,H10,3,130.0
222969.212204179,1756024860.903545,-134,H10,3,130.0
222969.2198964867,1756024860.903545,-129,H10,3,130.0
222969.22758879437,1756024860.903545,-127,H10,3,130.0
222969.23528110207,1756024860.903545,-125,H10,3,130.0
222969.24297340977,1756024860.903545,-125,H10,3,130.0
222969.25066571747,1756024860.903545,-125,H10,3,130.0
222969.25835802514,1756024860.903545,-125,H10,3,130.0
222969.26605033284,1756024860.903545,-122,H10,3,130.0
222969.27374264054,1756024860.903545,-125,H10,3,130.0
222969.28143494824,1756024860.903545,-125,H10,3,130.0
222969.2891272559,1756024860.903545,-125,H10,3,130.0
222969.2968195636,1756024860.903545,-125,H10,3,130.0
222969.3045118713,1756024860.903545,-125,H10,3,130.0
222969.312204179,1756024860.903545,-127,H10,3,130.0
222969.3198964867,1756024860.903545,-127,H10,3,130.0
222969.32758879437,1756024860.903545,-125,H10,3,130.0
222969.33528110207,1756024860.903545,-125,H10,3,130.0
222969.34297340977,1756024860.903545,-122,H10,3,130.0
222969.35066571747,1756024860.903545,-122,H10,3,130.0
222969.35835802514,1756024860.903545,-120,H10,3,130.0
222969.26209057542,1756024861.44123,-120,H10,4,130.0
222969.26978288312,1756024861.44123,-120,H10,4,130.0
222969.27747519081,1756024861.44123,-120,H10,4,130.0
222969.28516749848,1756024861.44123,-122,H10,4,130.0
222969.29285980618,1756024861.44123,-120,H10,4,130.0
222969.30055211388,1756024861.44123,-117,H10,4,130.0
222969.30824442158,1756024861.44123,-117,H10,4,130.0
222969.31593672925,1756024861.44123,-117,H10,4,130.0
222969.32362903695,1756024861.44123,-117,H10,4,130.0
222969.33132134465,1756024861.44123,-120,H10,4,130.0
222969.33901365235,1756024861.44123,-120,H10,4,130.0
222969.34670596002,1756024861.44123,-120,H10,4,130.0
222969.35439826772,1756024861.44123,-120,H10,4,130.0
222969.36209057542,1756024861.44123,-120,H10,4,130.0
222969.36978288312,1756024861.44123,-120,H10,4,130.0
222969.3774751908,1756024861.44123,-117,H10,4,130.0
222969.3851674985,1756024861.44123,-117,H10,4,130.0
222969.3928598062,1756024861.44123,-117,H10,4,130.0
222969.4005521139,1756024861.44123,-120,H10,4,130.0
222969.40824442156,1756024861.44123,-125,H10,4,130.0
222969.41593672926,1756024861.44123,-122,H10,4,130.0
222969.42362903696,1756024861.44123,-110,H10,4,130.0
222969.43132134466,1756024861.44123,-88,H10,4,130.0
222969.43901365233,1756024861.44123,-72,H10,4,130.0
222969.44670596003,1756024861.44123,-76,H10,4,130.0
222969.45439826773,1756024861.44123,-93,H10,4,130.0
222969.46209057543,1756024861.44123,-108,H10,4,130.0
222969.4697828831,1756024861.44123,-113,H10,4,130.0
222969.4774751908,1756024861.44123,-113,H10,4,130.0
222969.4851674985,1756024861.44123,-110,H10,4,130.0
222969.4928598062,1756024861.44123,-110,H10,4,130.0
222969.50055211387,1756024861.44123,-110,H10,4,130.0
222969.50824442157,1756024861.44123,-110,H10,4,130.0
222969.51593672927,1756024861.44123,-108,H10,4,130.0
222969.52362903696,1756024861.44123,-108,H10,4,130.0
222969.53132134464,1756024861.44123,-108,H10,4,130.0
222969.53901365233,1756024861.44123,-103,H10,4,130.0
222969.54670596003,1756024861.44123,-108,H10,4,130.0
222969.55439826773,1756024861.44123,-122,H10,4,130.0
222969.5620905754,1756024861.44123,-67,H10,4,130.0
222969.5697828831,1756024861.44123,226,H10,4,130.0
222969.5774751908,1756024861.44123,639,H10,4,130.0
222969.5851674985,1756024861.44123,697,H10,4,130.0
222969.59285980617,1756024861.44123,235,H10,4,130.0
222969.60055211387,1756024861.44123,-185,H10,4,130.0
222969.60824442157,1756024861.44123,-177,H10,4,130.0
222969.61593672927,1756024861.44123,-101,H10,4,130.0
222969.62362903694,1756024861.44123,-163,H10,4,130.0
222969.63132134464,1756024861.44123,-177,H10,4,130.0
222969.63901365234,1756024861.44123,-144,H10,4,130.0
222969.64670596004,1756024861.44123,-153,H10,4,130.0
222969.6543982677,1756024861.44123,-158,H10,4,130.0
222969.6620905754,1756024861.44123,-141,H10,4,130.0
222969.6697828831,1756024861.44123,-137,H10,4,130.0
222969.6774751908,1756024861.44123,-137,H10,4,130.0
222969.68516749848,1756024861.44123,-129,H10,4,130.0
222969.69285980618,1756024861.44123,-125,H10,4,130.0
222969.70055211388,1756024861.44123,-125,H10,4,130.0
222969.70824442158,1756024861.44123,-117,H10,4,130.0
222969.71593672925,1756024861.44123,-113,H10,4,130.0
222969.72362903695,1756024861.44123,-108,H10,4,130.0
222969.73132134465,1756024861.44123,-101,H10,4,130.0
222969.73901365235,1756024861.44123,-93,H10,4,130.0
222969.74670596002,1756024861.44123,-86,H10,4,130.0
222969.75439826772,1756024861.44123,-79,H10,4,130.0
222969.76209057542,1756024861.44123,-72,H10,4,130.0
222969.76978288312,1756024861.44123,-64,H10,4,130.0
222969.77747519081,1756024861.44123,-57,H10,4,130.0
222969.78516749848,1756024861.44123,-50,H10,4,130.0
222969.79285980618,1756024861.44123,-43,H10,4,130.0
222969.80055211388,1756024861.44123,-36,H10,4,130.0
222969.80824442158,1756024861.44123,-31,H10,4,130.0
222969.81593672925,1756024861.44123,-28,H10,4,130.0
222969.8504215343,1756024862.027839,-26,H10,5,130.0
222969.858113842,1756024862.027839,-28,H10,5,130.0
222969.8658061497,1756024862.027839,-28,H10,5,130.0
222969.87349845737,1756024862.027839,-28,H10,5,130.0
222969.88119076507,1756024862.027839,-36,H10,5,130.0
222969.88888307277,1756024862.027839,-45,H10,5,130.0
222969.89657538047,1756024862.027839,-60,H10,5,130.0
222969.90426768814,1756024862.027839,-76,H10,5,130.0
222969.91195999584,1756024862.027839,-93,H10,5,130.0
222969.91965230354,1756024862.027839,-108,H10,5,130.0
222969.92734461123,1756024862.027839,-120,H10,5,130.0
222969.9350369189,1756024862.027839,-132,H10,5,130.0
222969.9427292266,1756024862.027839,-137,H10,5,130.0
222969.9504215343,1756024862.027839,-141,H10,5,130.0
222969.958113842,1756024862.027839,-141,H10,5,130.0
222969.96580614967,1756024862.027839,-141,H10,5,130.0
222969.97349845737,1756024862.027839,-141,H10,5,130.0
222969.98119076507,1756024862.027839,-144,H10,5,130.0
222969.98888307277,1756024862.027839,-139,H10,5,130.0
222969.99657538044,1756024862.027839,-137,H10,5,130.0
222970.00426768814,1756024862.027839,-134,H10,5,130.0
222970.01195999584,1756024862.027839,-132,H10,5,130.0
222970.01965230354,1756024862.027839,-129,H10,5,130.0
222970.0273446112,1756024862.027839,-127,H10,5,130.0
222970.0350369189,1756024862.027839,-122,H10,5,130.0
222970.0427292266,1756024862.027839,-117,H10,5,130.0
222970.0504215343,1756024862.027839,-115,H10,5,130.0
222970.05811384198,1756024862.027839,-113,H10,5,130.0
222970.06580614968,1756024862.027839,-108,H10,5,130.0
222970.07349845738,1756024862.027839,-108,H10,5,130.0
222970.08119076508,1756024862.027839,-105,H10,5,130.0
222970.08888307275,1756024862.027839,-103,H10,5,130.0
222970.09657538045,1756024862.027839,-101,H10,5,130.0
222970.10426768815,1756024862.027839,-101,H10,5,130.0
222970.11195999585,1756024862.027839,-103,H10,5,130.0
222970.11965230352,1756024862.027839,-108,H10,5,130.0
222970.12734461122,1756024862.027839,-110,H10,5,130.0
222970.13503691892,1756024862.027839,-108,H10,5,130.0
222970.14272922662,1756024862.027839,-105,H10,5,130.0
222970.1504215343,1756024862.027839,-108,H10,5,130.0
222970.158113842,1756024862.027839,-108,H10,5,130.0
222970.1658061497,1756024862.027839,-108,H10,5,130.0
222970.17349845738,1756024862.027839,-108,H10,5,130.0
222970.18119076506,1756024862.027839,-108,H10,5,130.0
222970.18888307275,1756024862.027839,-105,H10,5,130.0
222970.19657538045,1756024862.027839,-103,H10,5,130.0
