time_lsl,t_device,bpm,device
222958.65466973546,1756024850.273365,63,H10
222959.63768291904,1756024851.262378,63,H10
222960.66940015194,1756024852.2502952,64,H10
222961.6212307216,1756024853.242549,64,H10
222962.6089356178,1756024854.232562,64,H10
222963.63859609867,1756024855.2214231,64,H10
222964.58818495707,1756024856.212194,64,H10
222965.58367332,1756024857.200742,64,H10
222966.608393379,1756024858.189563,63,H10
222967.55784602926,1756024859.182194,63,H10
222968.51782269098,1756024860.144321,64,H10
222969.5067568384,1756024861.1264,64,H10
222970.49540081958,1756024862.117485,64,H10
222971.47994367164,1756024863.104271,64,H10
222972.4688910281,1756024864.09557,64,H10
222973.5030973885,1756024865.129315,64,H10
222974.49437003827,1756024866.1193218,64,H10
222975.48376493718,1756024867.11019,64,H10
222976.4727779187,1756024868.0993152,64,H10
222977.51600341205,1756024869.140621,64,H10
222978.5003347639,1756024870.124996,64,H10
222979.49093162201,1756024871.114739,63,H10
222980.5689681919,1756024872.195365,63,H10
222981.55831888274,1756024873.1402779,63,H10
222982.47573037623,1756024874.1019459,63,H10
222983.48473000256,1756024875.109489,62,H10
222984.47285502523,1756024876.09756,62,H10
222985.51419743366,1756024877.139999,61,H10
222986.49576824083,1756024878.122175,61,H10
222987.48750380808,1756024879.1121879,61,H10
222988.47726137433,1756024880.1020489,61,H10
222989.47958982707,1756024881.106289,60,H10
222990.50092000767,1756024882.1271238,61,H10
222991.49656932877,1756024883.118805,61,H10
222992.48116026394,1756024884.107353,61,H10
222993.47071691297,1756024885.097336,61,H10
222994.51302769742,1756024886.137903,61,H10
222995.49588917283,1756024887.122395,60,H10
222996.61370036518,1756024888.1582189,60,H10
222997.52551514507,1756024889.149984,60,H10
