time_lsl,t_device,ms,device,seq
222958.65801707178,1756024850.273365,910,H10,1
222959.6382702946,1756024851.262378,912,H10,2
222960.6699506105,1756024852.2502952,920,H10,3
222960.67010652766,1756024852.2502952,929,H10,4
222961.6218682632,1756024853.242549,916,H10,5
222962.60951449338,1756024854.232562,951,H10,6
222963.63897297403,1756024855.2214231,967,H10,7
222964.58879412466,1756024856.212194,981,H10,8
222965.5842554046,1756024857.200742,970,H10,9
222966.60896142153,1756024858.189563,920,H10,10
222967.55845436387,1756024859.182194,940,H10,11
222968.51819573235,1756024860.144321,928,H10,12
222969.50758729826,1756024861.1264,937,H10,13
222970.49556752873,1756024862.117485,909,H10,14
222971.48053521424,1756024863.104271,896,H10,15
222972.4694845707,1756024864.09557,926,H10,16
222973.50362693003,1756024865.129315,938,H10,17
222974.49486599775,1756024866.1193218,963,H10,18
222975.4839057293,1756024867.11019,924,H10,19
222976.47295421088,1756024868.0993152,975,H10,20
222977.5164803715,1756024869.140621,981,H10,21
222978.50088859847,1756024870.124996,997,H10,22
222979.49138687248,1756024871.114739,1009,H10,23
222980.56927710917,1756024872.195365,967,H10,24
222981.55845071588,1756024873.1402779,1022,H10,25
222982.47629383477,1756024874.1019459,1055,H10,26
222983.48500233586,1756024875.109489,1075,H10,27
222984.4734485258,1756024876.09756,1050,H10,28
222985.51469776718,1756024877.139999,998,H10,29
222986.49620524127,1756024878.122175,1020,H10,30
222987.48808172563,1756024879.1121879,1008,H10,31
222988.47808075012,1756024880.1020489,999,H10,32
222989.47996916043,1756024881.106289,940,H10,33
222990.50147579922,1756024882.1271238,965,H10,34
222991.49712124633,1756024883.118805,992,H10,35
222992.4816517644,1756024884.107353,1017,H10,36
222993.4716497469,1756024885.097336,1035,H10,37
222994.51355661493,1756024886.137903,1019,H10,38
222995.49659679853,1756024887.122395,1057,H10,39
222996.61452045,1756024888.1582189,1051,H10,40
222997.52605385464,1756024889.149984,1050,H10,41
