time_lsl,x_mG,y_mG,z_mG
774249.0854509566,-938.0,-28.0,180.0
774249.1052111778,-938.0,-27.0,180.0
774249.124971399,-936.0,-27.0,182.0
774249.1447316202,-935.0,-27.0,181.0
774249.1644918415,-936.0,-26.0,182.0
774249.1842520627,-936.0,-26.0,181.0
774249.2040122838,-936.0,-28.0,179.0
774249.2237725051,-936.0,-28.0,176.0
774249.2435327263,-936.0,-30.0,178.0
774249.2632929476,-934.0,-32.0,180.0
774249.2830531687,-936.0,-28.0,179.0
774249.3028133899,-938.0,-28.0,169.0
774249.3225736112,-934.0,-32.0,171.0
774249.3423338323,-933.0,-28.0,186.0
774249.3620940535,-939.0,-27.0,178.0
774249.3818542748,-937.0,-29.0,175.0
774249.401614496,-938.0,-28.0,180.0
774249.4213747171,-936.0,-25.0,181.0
774249.4411349384,-938.0,-25.0,176.0
774249.4608951596,-938.0,-26.0,174.0
774249.4806553809,-935.0,-27.0,179.0
774249.500415602,-936.0,-28.0,181.0
774249.5201758232,-937.0,-28.0,178.0
774249.5399360445,-938.0,-27.0,177.0
774249.5596962656,-936.0,-26.0,178.0
774249.5794564869,-938.0,-27.0,180.0
774249.5992167081,-936.0,-28.0,178.0
774249.6189769293,-936.0,-28.0,183.0
774249.6387371505,-937.0,-26.0,190.0
774249.6584973717,-940.0,-28.0,181.0
774249.678257593,-934.0,-29.0,181.0
774249.6980178141,-934.0,-26.0,188.0
774249.7177780353,-938.0,-27.0,181.0
774249.7375382566,-939.0,-28.0,183.0
774249.7572984778,-936.0,-28.0,180.0
774249.7770586989,-936.0,-28.0,178.0
774249.7968189202,-936.0,-27.0,177.0
774249.8165791414,-936.0,-27.0,180.0
774249.8363393627,-935.0,-24.0,181.0
774249.8560995838,-937.0,-25.0,182.0
774249.875859805,-937.0,-24.0,181.0
774249.8956200263,-938.0,-25.0,181.0
774249.9153802474,-937.0,-27.0,182.0
774249.9351404686,-936.0,-27.0,182.0
774249.9549006899,-937.0,-26.0,183.0
774249.9746609111,-937.0,-25.0,183.0
774249.9944211323,-936.0,-24.0,179.0
774250.0141813535,-937.0,-25.0,182.0
774250.0339415747,-937.0,-26.0,179.0
774250.053701796,-938.0,-26.0,176.0
774250.0734620171,-937.0,-27.0,176.0
774250.0932222384,-938.0,-28.0,177.0
774250.1129824596,-937.0,-25.0,182.0
774250.1327426807,-936.0,-24.0,182.0
774250.152502902,-937.0,-24.0,179.0
774250.1722631232,-938.0,-25.0,177.0
774250.1920233445,-937.0,-26.0,175.0
774250.2117835656,-937.0,-25.0,178.0
774250.2315437868,-940.0,-24.0,181.0
774250.2513040081,-940.0,-25.0,174.0
774250.2710642293,-933.0,-28.0,176.0
774250.2908244504,-935.0,-28.0,180.0
774250.3105846717,-941.0,-28.0,175.0
774250.3303448929,-941.0,-30.0,171.0
774250.350105114,-935.0,-28.0,177.0
774250.3698653353,-936.0,-25.0,184.0
774250.3896255565,-942.0,-23.0,180.0
774250.4093857778,-940.0,-26.0,176.0
774250.4291459989,-934.0,-27.0,178.0
774250.4489062201,-933.0,-26.0,178.0
774250.4686664414,-936.0,-26.0,178.0
774250.4884266626,-938.0,-25.0,176.0
774250.5081868838,-939.0,-27.0,178.0
774250.527947105,-937.0,-27.0,178.0
774250.5477073262,-937.0,-24.0,175.0
774250.5674675474,-936.0,-24.0,181.0
774250.5872277686,-936.0,-24.0,185.0
774250.6069879899,-936.0,-24.0,183.0
774250.6267482111,-937.0,-27.0,187.0
774250.6465084322,-938.0,-27.0,187.0
774250.6662686535,-938.0,-28.0,181.0
774250.6860288747,-936.0,-28.0,182.0
774250.7057890958,-935.0,-28.0,180.0
774250.7255493171,-934.0,-27.0,182.0
774250.7453095383,-935.0,-26.0,180.0
774250.7650697596,-936.0,-26.0,175.0
774250.7848299807,-936.0,-26.0,175.0
774250.8045902019,-937.0,-27.0,176.0
774250.8243504232,-938.0,-27.0,177.0
774250.8441106444,-937.0,-27.0,178.0
774250.8638708655,-934.0,-25.0,175.0
774250.8836310868,-936.0,-25.0,178.0
774250.903391308,-937.0,-23.0,172.0
774250.9231515292,-938.0,-23.0,174.0
774250.9429117504,-937.0,-23.0,176.0
774250.9626719716,-936.0,-24.0,178.0
774250.9824321929,-936.0,-25.0,176.0
774251.002192414,-936.0,-24.0,180.0
774251.0219526353,-938.0,-24.0,175.0
774251.0417128565,-936.0,-25.0,175.0
774251.0614730777,-938.0,-24.0,179.0
774251.0812332989,-937.0,-23.0,178.0
774251.1009935201,-938.0,-24.0,181.0
774251.1207537414,-937.0,-24.0,181.0
774251.1405139625,-935.0,-25.0,177.0
774251.1602741837,-937.0,-26.0,180.0
774251.180034405,-938.0,-25.0,179.0
774251.1997946262,-937.0,-26.0,172.0
774251.2195548473,-933.0,-27.0,182.0
774251.2393150686,-936.0,-25.0,179.0
774251.2590752898,-940.0,-25.0,177.0
774251.2788355111,-938.0,-26.0,173.0
774251.2985957322,-934.0,-25.0,177.0
774251.3183559534,-937.0,-22.0,181.0
774251.3381161747,-942.0,-24.0,179.0
774251.3578763958,-937.0,-25.0,177.0
774251.377636617,-934.0,-28.0,181.0
774251.3973968383,-933.0,-25.0,183.0
774251.4171570595,-936.0,-25.0,182.0
774251.4369172807,-939.0,-24.0,179.0
774251.4566775019,-936.0,-25.0,178.0
774251.4764377231,-935.0,-26.0,177.0
774251.4961979444,-936.0,-26.0,180.0
774251.5159581655,-936.0,-25.0,182.0
774251.5357183868,-936.0,-25.0,188.0
774251.555478608,-938.0,-25.0,184.0
774251.5752388291,-935.0,-26.0,184.0
774251.5949990504,-937.0,-26.0,185.0
774251.6147592716,-937.0,-26.0,184.0
774251.6345194929,-936.0,-26.0,181.0
774251.654279714,-936.0,-26.0,181.0
774251.6740399352,-937.0,-26.0,180.0
774251.6938001565,-937.0,-25.0,180.0
774251.7135603776,-936.0,-27.0,181.0
774251.7333205988,-935.0,-26.0,183.0
774251.7530808201,-937.0,-27.0,181.0
774251.7728410413,-937.0,-26.0,182.0
774251.7926012625,-937.0,-26.0,180.0
774251.8123614837,-936.0,-25.0,177.0
774251.8321217049,-934.0,-24.0,179.0
774251.8518819262,-936.0,-24.0,182.0
774251.8716421473,-938.0,-24.0,182.0
774251.8914023686,-937.0,-23.0,181.0
774251.9111625898,-938.0,-25.0,182.0
774251.9309228109,-935.0,-26.0,184.0
774251.9506830322,-938.0,-25.0,186.0
774251.9704432534,-937.0,-25.0,183.0
774251.9902034746,-936.0,-24.0,182.0
774252.0099636958,-935.0,-24.0,185.0
774252.029723917,-937.0,-24.0,185.0
774252.0494841383,-938.0,-24.0,184.0
774252.0692443595,-937.0,-27.0,181.0
774252.0890045806,-938.0,-27.0,179.0
774252.1087648019,-936.0,-28.0,182.0
774252.1285250231,-936.0,-27.0,185.0
774252.1482852442,-936.0,-26.0,181.0
774252.1680454655,-933.0,-27.0,187.0
774252.1878056867,-935.0,-27.0,191.0
774252.207565908,-938.0,-25.0,181.0
774252.2273261291,-938.0,-27.0,175.0
774252.2470863503,-934.0,-28.0,180.0
774252.2668465716,-934.0,-26.0,191.0
774252.2866067928,-939.0,-25.0,187.0
774252.306367014,-941.0,-27.0,182.0
774252.3261272352,-935.0,-27.0,185.0
774252.3458874564,-934.0,-27.0,184.0
774252.3656476776,-935.0,-28.0,185.0
774252.3854078988,-934.0,-27.0,186.0
774252.40516812,-936.0,-29.0,185.0
774252.4249283413,-935.0,-28.0,184.0
774252.4446885624,-935.0,-28.0,185.0
774252.4644487837,-936.0,-29.0,187.0
