time_lsl,x_mG,y_mG,z_mG
774249.8064417775,811.0,-541.0,-22.0
774249.826126222,813.0,-542.0,-19.0
774249.8458106667,815.0,-542.0,-20.0
774249.8654951112,815.0,-539.0,-20.0
774249.8851795559,813.0,-541.0,-22.0
774249.9048640004,813.0,-540.0,-22.0
774249.924548445,810.0,-541.0,-21.0
774249.9442328896,807.0,-544.0,-23.0
774249.9639173342,810.0,-544.0,-19.0
774249.9836017787,812.0,-543.0,-18.0
774250.0032862234,811.0,-542.0,-20.0
774250.0229706679,814.0,-543.0,-20.0
774250.0426551126,812.0,-547.0,-18.0
774250.0623395571,812.0,-549.0,-18.0
774250.0820240017,812.0,-554.0,-18.0
774250.1017084463,814.0,-543.0,-19.0
774250.1213928908,813.0,-540.0,-22.0
774250.1410773355,814.0,-544.0,-24.0
774250.16076178,809.0,-543.0,-20.0
774250.1804462246,810.0,-541.0,-19.0
774250.2001306692,809.0,-543.0,-22.0
774250.2198151138,815.0,-544.0,-18.0
774250.2394995583,819.0,-543.0,-24.0
774250.259184003,816.0,-543.0,-20.0
774250.2788684475,821.0,-544.0,-20.0
774250.2985528922,815.0,-547.0,-18.0
774250.3182373367,808.0,-542.0,-14.0
774250.3379217813,801.0,-547.0,-18.0
774250.3576062259,806.0,-548.0,-20.0
774250.3772906704,812.0,-545.0,-17.0
774250.396975115,823.0,-543.0,-13.0
774250.4166595596,818.0,-544.0,-24.0
774250.4363440042,815.0,-543.0,-17.0
774250.4560284488,810.0,-546.0,-16.0
774250.4757128934,805.0,-540.0,-15.0
774250.495397338,809.0,-548.0,-15.0
774250.5150817826,813.0,-546.0,-13.0
774250.5347662271,816.0,-541.0,-11.0
774250.5544506718,816.0,-540.0,-18.0
774250.5741351163,816.0,-545.0,-15.0
774250.593819561,814.0,-541.0,-17.0
774250.6135040055,808.0,-542.0,-14.0
774250.6331884501,811.0,-540.0,-18.0
774250.6528728947,815.0,-539.0,-16.0
774250.6725573392,814.0,-541.0,-11.0
774250.6922417838,817.0,-544.0,-16.0
774250.7119262284,814.0,-543.0,-15.0
774250.731610673,816.0,-537.0,-12.0
774250.7512951175,808.0,-536.0,-15.0
774250.7709795622,811.0,-541.0,-18.0
774250.7906640067,809.0,-543.0,-14.0
774250.8103484514,815.0,-546.0,-12.0
774250.8300328959,813.0,-539.0,-10.0
774250.8497173405,815.0,-543.0,-14.0
774250.8694017851,811.0,-552.0,-20.0
774250.8890862297,810.0,-547.0,-16.0
774250.9087706743,805.0,-540.0,-14.0
774250.9284551189,814.0,-538.0,-13.0
774250.9481395634,821.0,-541.0,-18.0
774250.967824008,817.0,-541.0,-11.0
774250.9875084526,811.0,-543.0,-16.0
774251.0071928971,810.0,-548.0,-13.0
774251.0268773418,813.0,-550.0,-8.0
774251.0465617863,819.0,-549.0,-11.0
774251.066246231,814.0,-542.0,-13.0
774251.0859306755,811.0,-541.0,-18.0
774251.1056151201,811.0,-541.0,-12.0
774251.1252995647,813.0,-540.0,-12.0
774251.1449840093,813.0,-542.0,-15.0
774251.1646684539,811.0,-544.0,-6.0
774251.1843528985,810.0,-548.0,-11.0
774251.204037343,815.0,-544.0,-15.0
774251.2237217876,816.0,-540.0,-19.0
774251.2434062322,813.0,-548.0,-15.0
774251.2630906767,814.0,-544.0,-12.0
774251.2827751214,811.0,-541.0,-9.0
774251.3024595659,810.0,-542.0,-8.0
774251.3221440106,813.0,-547.0,-11.0
