time_lsl,uV
567028.6606069175,-129.0
567028.6683623336,-136.0
567028.6761177497,-143.0
567028.6838731659,-150.0
567028.691628582,-160.0
567028.699383998,-160.0
567028.7071394142,-158.0
567028.7148948302,-155.0
567028.7226502465,-155.0
567028.7304056626,-153.0
567028.7381610787,-150.0
567028.7459164948,-150.0
567028.753671911,-150.0
567028.7614273271,-148.0
567028.7691827432,-146.0
567028.7769381593,-141.0
567028.7846935753,-136.0
567028.7924489916,-139.0
567028.8002044077,-141.0
567028.8079598238,-139.0
567028.8157152398,-131.0
567028.823470656,-134.0
567028.8312260722,-143.0
567028.8389814883,-146.0
567028.8467369044,-139.0
567028.8544923204,-134.0
567028.8622477367,-141.0
567028.8700031528,-143.0
567028.8777585689,-139.0
567028.885513985,-141.0
567028.893269401,-146.0
567028.9010248173,-139.0
567028.9087802334,-136.0
567028.9165356494,-136.0
567028.9242910655,-136.0
567028.9320464816,-136.0
567028.9398018979,-134.0
567028.947557314,-131.0
567028.95531273,-129.0
567028.9630681461,-127.0
567028.9708235624,-124.0
567028.9785789785,-127.0
567028.9863343945,-124.0
567028.9940898106,-122.0
567029.0018452267,-127.0
567029.009600643,-131.0
567029.017356059,-129.0
567029.0251114751,-115.0
567029.0328668912,-95.0
567029.0406223073,-86.0
567029.0483777235,-93.0
567029.0561331396,-103.0
567029.0638885557,-112.0
567029.0716439718,-122.0
567029.0793993879,-119.0
567029.0871548041,-115.0
567029.0949102202,-112.0
567029.1026656363,-112.0
567029.1104210524,-115.0
567029.1181764686,-119.0
567029.1259318847,-115.0
567029.1336873008,-105.0
567029.1414427169,-105.0
567029.149198133,-115.0
567029.1569535492,-52.0
567029.1647089653,261.0
567029.1724643814,692.0
567029.1802197975,639.0
567029.1879752136,-7.0
567029.1957306298,-433.0
567029.2034860459,-273.0
567029.211241462,-122.0
567029.2189968781,-184.0
567029.2267522943,-179.0
567029.2345077104,-136.0
567029.2422631265,-158.0
567029.2500185426,-162.0
567029.2577739587,-141.0
567029.2655293749,-141.0
567029.273284791,-143.0
567029.2810402071,-134.0
567029.2887956232,-131.0
567029.2965510393,-131.0
567029.3043064555,-124.0
567029.3120618716,-115.0
567029.3198172877,-105.0
567029.3275727038,-95.0
567029.33532812,-91.0
567029.3430835361,-88.0
567029.3508389522,-81.0
567029.3585943683,-67.0
567029.3663497844,-57.0
567029.3741052006,-57.0
567029.3818606167,-57.0
567029.3896160328,-52.0
567029.3973714489,-45.0
567029.405126865,-50.0
567029.4128822812,-69.0
567029.4206376973,-76.0
567029.4283931134,-81.0
567029.4361485295,-93.0
567029.4439039457,-98.0
567029.4516593618,-98.0
567029.4594147779,-107.0
567029.467170194,-117.0
567029.4749256101,-119.0
567029.4826810263,-134.0
567029.4904364424,-150.0
567029.4981918585,-155.0
567029.5059472746,-158.0
567029.5137026907,-160.0
567029.5214581069,-162.0
567029.529213523,-162.0
567029.5369689391,-162.0
567029.5447243552,-162.0
567029.5524797713,-153.0
567029.5602351875,-146.0
567029.5679906036,-143.0
567029.5757460197,-143.0
567029.5835014358,-143.0
567029.591256852,-139.0
567029.5990122681,-131.0
567029.6067676842,-127.0
567029.6145231003,-131.0
567029.6222785164,-134.0
567029.6300339326,-131.0
567029.6377893487,-129.0
567029.6455447648,-131.0
567029.6533001809,-131.0
567029.661055597,-134.0
567029.6688110132,-139.0
567029.6765664293,-136.0
567029.6843218454,-134.0
567029.6920772615,-139.0
567029.6998326777,-141.0
567029.7075880938,-136.0
567029.7153435099,-136.0
567029.723098926,-136.0
567029.7308543421,-134.0
567029.7386097583,-134.0
567029.7463651744,-139.0
567029.7541205905,-141.0
567029.7618760066,-139.0
567029.7696314227,-136.0
