time_lsl,bpm
774248.1864624099,67.0
774249.1725214467,67.0
774250.1602458371,67.0
774251.1794085732,66.0
774252.1722215305,66.0
774253.157175259,66.0
774254.1763725658,66.0
774255.1652156159,65.0
774256.1550376125,65.0
774257.1736505555,65.0
774258.1634651613,65.0
774259.1529912805,65.0
774260.1729965878,65.0
774261.1698376264,65.0
774262.1517841818,65.0
774263.1715548852,65.0
774264.1623582126,65.0
774265.1511912491,66.0
774266.1722181799,66.0
774267.160718861,66.0
774268.1500990682,66.0
774269.1711825042,67.0
774270.1611928515,67.0
774271.1499867873,67.0
774272.1704438978,67.0
774273.1624262049,67.0
774274.1512678245,67.0
774275.1706441836,67.0
774276.1902565772,67.0
774277.1799233634,67.0
774278.1725834945,67.0
774279.1622748377,68.0
774280.1524036791,68.0
774281.1719323877,68.0
774282.1642661237,68.0
774283.152587991,68.0
774284.1723796752,68.0
774285.1625743201,68.0
774286.1525789454,68.0
774287.1723715833,69.0
774288.1637237502,69.0
774289.1515778402,69.0
774290.1711036878,69.0
774291.1621671298,69.0
774292.1513937954,69.0
774293.1804809418,68.0
774294.191770144,68.0
774295.1511403708,68.0
774296.2005679568,68.0
774297.1603284747,68.0
774298.1808473355,68.0
774299.1716368346,68.0
774300.1611753516,69.0
774301.1510307268,69.0
774302.1708588892,69.0
774303.1627172186,69.0
774304.1582643598,69.0
774305.1732285455,69.0
774306.1647313929,69.0
774307.1520380739,70.0
774308.1734905817,70.0
774309.1922983127,70.0
774310.1822285514,70.0
774311.1712368255,70.0
774312.162094274,69.0
774313.1532514144,69.0
774314.1721988587,70.0
774315.1620153717,69.0
774316.1521129803,69.0
