time_lsl,bpm
567030.2349514888,0.0
567031.2244823184,0.0
567032.2762613797,0.0
567033.2655831162,0.0
567034.3143106581,0.0
567035.2438608551,0.0
567036.2336467926,0.0
567037.2535380834,0.0
567038.2427654061,76.0
567039.2333135678,76.0
567040.2232575768,76.0
567041.2425769015,76.0
567042.2332259142,76.0
567043.2516840708,78.0
567044.2979966708,78.0
567045.2571157792,78.0
567046.2758097319,78.0
567047.2639980264,78.0
567048.2535093057,78.0
567049.2371788528,72.0
567050.2557307079,72.0
567051.2458492393,72.0
567052.2722605631,72.0
567053.2504264556,73.0
567054.269697858,73.0
567055.2306773467,73.0
567056.2816586595,73.0
567057.2400930297,73.0
567058.2572339237,73.0
567059.248215292,73.0
567060.2371667644,73.0
567061.2268351616,73.0
567062.2473761429,73.0
567063.2665362038,73.0
567064.2253651569,72.0
567065.276799465,72.0
567066.2653773355,72.0
567067.2551790086,72.0
567068.2774256365,72.0
567069.2348386216,73.0
567070.2252613752,73.0
567071.2451104658,73.0
567072.2640499895,73.0
567073.228998194,70.0
567074.2475665,70.0
567075.2372539706,70.0
567076.2268181788,70.0
567077.2773405358,70.0
567078.2390710431,71.0
567079.2682120212,71.0
567080.2510096716,71.0
567081.269521234,71.0
567082.2303905733,71.0
567083.2493951853,71.0
567084.2362078046,71.0
567085.2558947706,71.0
567086.2456308786,71.0
567087.2366489633,71.0
567088.2244233632,73.0
567089.2451925112,73.0
567090.2640042426,73.0
567091.224800149,73.0
567092.2143037989,73.0
567093.2333746912,82.0
567094.2231725496,82.0
567095.2136808955,82.0
567096.2338413608,82.0
567097.2539057434,82.0
567098.2236325716,82.0
567099.2653162747,76.0
567100.2871366102,76.0
567101.2454479566,76.0
567102.2354563386,76.0
567103.2242812108,71.0
567104.2147680989,71.0
567105.2339236299,71.0
567106.2239887556,71.0
567107.2164611936,71.0
567108.2345288206,69.0
567109.22397978,69.0
567111.2367118656,69.0
567112.2267786602,69.0
567113.2172145267,69.0
567115.2251181591,71.0
567116.2147057323,71.0
567117.2650316324,71.0
567118.224588239,71.0
567119.2147661366,69.0
567120.233829638,69.0
567121.224114824,69.0
567122.2150685358,69.0
567123.2332806444,71.0
567124.2236039774,71.0
567125.2433603232,71.0
567126.2329664931,71.0
567127.2232671763,71.0
567128.2157005138,73.0
567129.2349728699,73.0
567130.2259973919,73.0
567131.2145595268,73.0
567132.2649655355,73.0
567133.2583265597,73.0
567134.2151012982,70.0
567135.2649730109,70.0
567136.2244931393,70.0
567137.215357921,70.0
567138.2338365816,72.0
567139.2549740863,72.0
567140.2153482302,72.0
567141.2352097186,72.0
567142.2251599265,72.0
