time_lsl,ch1,ch2,ch3,ch4
567028.8515264984,402701.0,434786.0,448745.0,174456.0
567028.8698523905,402323.0,434285.0,448217.0,174464.0
567028.8881782825,401771.0,433617.0,447574.0,174472.0
567028.9065041747,401322.0,432938.0,446873.0,174527.0
567028.9248300667,400822.0,432400.0,446267.0,174512.0
567028.9431559588,400299.0,431709.0,445610.0,174465.0
567028.9614818508,399862.0,431116.0,445067.0,174467.0
567028.9798077429,399393.0,430492.0,444537.0,174504.0
567028.9981336349,399013.0,429998.0,444037.0,174434.0
567029.0164595271,398754.0,429595.0,443616.0,174458.0
567029.0347854191,398532.0,429258.0,443313.0,174493.0
567029.0531113112,398372.0,429029.0,443061.0,174462.0
567029.0714372032,398370.0,428923.0,443070.0,174518.0
567029.0897630953,398300.0,428901.0,443040.0,174496.0
567029.1080889873,398344.0,429014.0,443143.0,174534.0
567029.1264148795,398350.0,429000.0,443132.0,174486.0
567029.1447407715,398446.0,429033.0,443191.0,174496.0
567029.1630666635,398492.0,429195.0,443290.0,174513.0
567029.1813925556,398631.0,429299.0,443383.0,174538.0
567029.1997184476,398716.0,429402.0,443491.0,174453.0
567029.2180443397,398842.0,429537.0,443611.0,174488.0
567029.2363702318,398921.0,429716.0,443769.0,174473.0
567029.2546961239,399032.0,429841.0,443886.0,174461.0
567029.2730220159,399175.0,430064.0,444041.0,174489.0
567029.291347908,399273.0,430300.0,444325.0,174504.0
567029.3096738,399470.0,430437.0,444512.0,174474.0
567029.3279996921,399693.0,430688.0,444776.0,174571.0
567029.3463255842,399870.0,430939.0,444957.0,174541.0
567029.3646514763,399994.0,431102.0,445170.0,174496.0
567029.3829773683,400164.0,431396.0,445403.0,174478.0
567029.4013032604,400371.0,431627.0,445668.0,174532.0
567029.4196291524,400549.0,431812.0,445875.0,174532.0
567029.4379550444,400683.0,432063.0,446017.0,174522.0
567029.4562809366,400855.0,432310.0,446290.0,174482.0
567029.4746068286,401009.0,432506.0,446488.0,174454.0
567029.4929327207,401129.0,432719.0,446739.0,174481.0
567029.5112586127,401315.0,432946.0,446948.0,174456.0
567029.5295845048,401497.0,433138.0,447196.0,174483.0
567029.5479103968,401658.0,433339.0,447433.0,174495.0
567029.566236289,401835.0,433601.0,447662.0,174494.0
567029.584562181,402098.0,433873.0,447916.0,174525.0
567029.6028880731,402251.0,434133.0,448153.0,174447.0
567029.6212139651,402380.0,434374.0,448318.0,174452.0
567029.6395398572,402454.0,434435.0,448360.0,174529.0
567029.6578657492,402314.0,434257.0,448141.0,174482.0
567029.6761916414,401895.0,433800.0,447742.0,174471.0
567029.6945175334,401520.0,433154.0,447158.0,174475.0
567029.7128434255,400982.0,432579.0,446476.0,174515.0
567029.7311693175,400506.0,431882.0,445881.0,174475.0
567029.7494952095,400085.0,431331.0,445414.0,174503.0
567029.7678211017,399657.0,430754.0,444828.0,174507.0
567029.7861469937,399270.0,430187.0,444286.0,174485.0
567029.8044728858,398897.0,429692.0,443824.0,174443.0
567029.8227987778,398504.0,429273.0,443425.0,174425.0
567029.8411246699,398286.0,428929.0,443090.0,174450.0
567029.8594505619,398115.0,428647.0,442879.0,174501.0
567029.8777764541,398072.0,428563.0,442829.0,174476.0
567029.8961023461,398049.0,428564.0,442800.0,174466.0
567029.9144282382,398054.0,428575.0,442838.0,174423.0
567029.9327541302,398061.0,428596.0,442923.0,174443.0
567029.9510800223,398121.0,428686.0,442966.0,174462.0
567029.9694059143,398138.0,428743.0,443051.0,174495.0
567029.9877318065,398137.0,428733.0,443097.0,174495.0
567030.0060576985,398179.0,428747.0,443138.0,174462.0
567030.0243835906,398264.0,428854.0,443269.0,174418.0
567030.0427094826,398390.0,429049.0,443394.0,174441.0
567030.0610353746,398473.0,429215.0,443512.0,174406.0
567030.0793612667,398586.0,429419.0,443667.0,174435.0
567030.0976871589,398757.0,429608.0,443861.0,174462.0
567030.1160130509,398887.0,429816.0,444008.0,174454.0
567030.1343389429,399075.0,429978.0,444196.0,174475.0
567030.152664835,399138.0,430176.0,444415.0,174437.0
567030.170990727,399309.0,430419.0,444583.0,174427.0
567030.1893166191,399465.0,430650.0,444820.0,174403.0
567030.2076425112,399548.0,430842.0,445042.0,174409.0
567030.2259684033,399781.0,431136.0,445226.0,174415.0
567030.2442942953,399888.0,431241.0,445448.0,174405.0
567030.2626201874,400090.0,431507.0,445649.0,174420.0
567030.2809460794,400276.0,431784.0,445938.0,174417.0
567030.2992719715,400517.0,432050.0,446127.0,174453.0
567030.3175978636,400657.0,432315.0,446417.0,174467.0
567030.3359237557,400853.0,432564.0,446652.0,174483.0
567030.3542496477,401004.0,432810.0,446808.0,174415.0
567030.3725755397,401190.0,433092.0,447128.0,174453.0
567030.3909014318,401362.0,433339.0,447321.0,174486.0
567030.4092273238,401448.0,433532.0,447511.0,174437.0
567030.427553216,401431.0,433490.0,447472.0,174429.0
567030.445879108,401157.0,433143.0,447103.0,174417.0
567030.4642050001,400801.0,432699.0,446658.0,174424.0
567030.4825308921,400377.0,432113.0,446084.0,174410.0
567030.5008567842,399966.0,431551.0,445527.0,174494.0
567030.5191826763,399456.0,430998.0,445003.0,174410.0
567030.5375085684,399112.0,430480.0,444593.0,174440.0
567030.5558344604,398777.0,429967.0,444041.0,174492.0
