time_lsl,ms,quality,blocker,skinContact,skinSupported,te
774158.2978045035,386.0,30.0,1.0,1.0,1.0,1756576000.0
774159.4392445739,1141.0,30.0,1.0,1.0,1.0,1756576000.0
774160.2616749533,822.0,30.0,0.0,1.0,1.0,1756576000.0
774161.2400901673,978.0,30.0,0.0,1.0,1.0,1756576000.0
774162.1604895742,920.0,30.0,0.0,1.0,1.0,1756576000.0
774163.088372223,928.0,30.0,0.0,1.0,1.0,1756576000.0
774164.0172748261,929.0,30.0,0.0,1.0,1.0,1756576000.0
774164.9641863715,947.0,30.0,0.0,1.0,1.0,1756576000.0
774165.9011055587,937.0,30.0,0.0,1.0,1.0,1756576000.0
774166.7948740947,894.0,26.0,0.0,1.0,1.0,1756576000.0
774167.7188400042,924.0,20.0,0.0,1.0,1.0,1756576000.0
774168.6388159798,920.0,17.0,0.0,1.0,1.0,1756576000.0
774169.5507975443,912.0,14.0,0.0,1.0,1.0,1756576000.0
774170.4277835628,877.0,13.0,0.0,1.0,1.0,1756576128.0
774171.2893994551,862.0,11.0,0.0,1.0,1.0,1756576128.0
774172.1605303917,871.0,10.0,0.0,1.0,1.0,1756576128.0
774173.0286636924,868.0,9.0,0.0,1.0,1.0,1756576128.0
774173.9287944264,900.0,9.0,0.0,1.0,1.0,1756576128.0
774174.7719212015,843.0,10.0,0.0,1.0,1.0,1756576128.0
774175.6648383449,893.0,11.0,0.0,1.0,1.0,1756576128.0
774176.5872478583,923.0,10.0,0.0,1.0,1.0,1756576128.0
774177.530241234,943.0,9.0,0.0,1.0,1.0,1756576128.0
774178.4532849406,923.0,8.0,0.0,1.0,1.0,1756576128.0
774179.2963354217,843.0,9.0,0.0,1.0,1.0,1756576128.0
774180.1973866896,901.0,10.0,0.0,1.0,1.0,1756576128.0
774181.0933880149,896.0,9.0,0.0,1.0,1.0,1756576128.0
774181.9804128832,887.0,8.0,0.0,1.0,1.0,1756576128.0
774182.8375009695,857.0,8.0,0.0,1.0,1.0,1756576128.0
774183.6635965566,826.0,9.0,0.0,1.0,1.0,1756576128.0
774184.5226930805,859.0,9.0,0.0,1.0,1.0,1756576128.0
774185.3987874137,876.0,9.0,0.0,1.0,1.0,1756576128.0
774186.3095528055,911.0,8.0,0.0,1.0,1.0,1756576128.0
774187.1604834952,851.0,8.0,0.0,1.0,1.0,1756576128.0
774188.0474251555,887.0,10.0,0.0,1.0,1.0,1756576128.0
774188.9313861076,884.0,10.0,0.0,1.0,1.0,1756576128.0
774189.8313542402,900.0,10.0,0.0,1.0,1.0,1756576128.0
774190.7022789448,871.0,10.0,0.0,1.0,1.0,1756576128.0
774191.5381985666,836.0,9.0,0.0,1.0,1.0,1756576128.0
774192.3953405356,857.0,8.0,0.0,1.0,1.0,1756576128.0
774193.2594877172,864.0,9.0,0.0,1.0,1.0,1756576128.0
774194.1126314076,853.0,9.0,0.0,1.0,1.0,1756576128.0
774194.9307704921,818.0,9.0,0.0,1.0,1.0,1756576128.0
774195.7978878915,867.0,10.0,0.0,1.0,1.0,1756576128.0
774196.6901861005,892.0,9.0,0.0,1.0,1.0,1756576128.0
774197.6160641265,926.0,8.0,0.0,1.0,1.0,1756576128.0
774198.509996456,894.0,9.0,0.0,1.0,1.0,1756576128.0
774199.3799376843,870.0,10.0,0.0,1.0,1.0,1756576128.0
774200.2778854583,898.0,9.0,0.0,1.0,1.0,1756576128.0
774201.1668715574,889.0,9.0,0.0,1.0,1.0,1756576128.0
774202.0209603388,854.0,8.0,0.0,1.0,1.0,1756576128.0
774202.8829236068,862.0,8.0,0.0,1.0,1.0,1756576128.0
774203.7688937116,886.0,9.0,0.0,1.0,1.0,1756576128.0
774204.6808686005,912.0,10.0,0.0,1.0,1.0,1756576128.0
774205.5208477743,840.0,11.0,0.0,1.0,1.0,1756576128.0
774206.3799648022,859.0,10.0,0.0,1.0,1.0,1756576128.0
774207.2308938231,851.0,9.0,0.0,1.0,1.0,1756576128.0
774208.0849454112,854.0,9.0,0.0,1.0,1.0,1756576128.0
774208.9310002041,846.0,11.0,0.0,1.0,1.0,1756576128.0
774209.7760557849,845.0,12.0,0.0,1.0,1.0,1756576128.0
774210.6570832356,881.0,12.0,0.0,1.0,1.0,1756576128.0
774211.5189230028,862.0,11.0,0.0,1.0,1.0,1756576128.0
774212.3459496142,827.0,10.0,0.0,1.0,1.0,1756576128.0
774213.2159790574,870.0,11.0,0.0,1.0,1.0,1756576128.0
774214.0800094139,864.0,12.0,0.0,1.0,1.0,1756576128.0
774214.9410411807,861.0,12.0,0.0,1.0,1.0,1756576128.0
774215.7660290755,825.0,12.0,0.0,1.0,1.0,1756576128.0
