time_lsl,x_mG,y_mG,z_mG
7013.5601195,-974.0,55.0,38.0
7013.5801195,-966.0,53.0,39.0
7013.600119500001,-960.0,51.0,39.0
7013.620119500001,-960.0,45.0,40.0
7013.640119500002,-959.0,37.0,39.0
7013.660119500002,-952.0,33.0,42.0
7013.680119500003,-943.0,31.0,42.0
7013.700119500003,-940.0,32.0,44.0
7013.720119500003,-946.0,28.0,43.0
7013.740119500004,-944.0,28.0,48.0
7013.760119500004,-946.0,32.0,51.0
7013.780119500005,-941.0,30.0,48.0
7013.800119500005,-941.0,31.0,59.0
7013.820119500006,-948.0,32.0,74.0
7013.840119500006,-959.0,32.0,74.0
7013.8601195000065,-963.0,33.0,77.0
7013.880119500007,-960.0,35.0,81.0
7013.900119500007,-949.0,39.0,88.0
7013.920119500008,-943.0,43.0,95.0
7013.940119500008,-937.0,45.0,94.0
7013.960119500009,-937.0,45.0,97.0
7013.980119500009,-943.0,43.0,101.0
7014.0001195000095,-946.0,37.0,106.0
7014.02011950001,-942.0,38.0,104.0
7014.04011950001,-945.0,38.0,110.0
7014.060119500011,-945.0,39.0,97.0
7014.080119500011,-939.0,34.0,98.0
7014.100119500012,-939.0,31.0,108.0
7014.120119500012,-941.0,29.0,117.0
7014.140119500013,-940.0,25.0,124.0
7014.160119500013,-940.0,23.0,123.0
7014.1801195000135,-942.0,22.0,121.0
7014.200119500014,-940.0,25.0,127.0
7014.220119500014,-940.0,27.0,134.0
7014.240119500015,-940.0,27.0,137.0
7014.260119500015,-941.0,28.0,140.0
7014.62241625,-944.0,26.0,143.0
7014.642416250001,-948.0,25.0,141.0
7014.662416250001,-948.0,22.0,138.0
7014.682416250002,-948.0,18.0,131.0
7014.702416250002,-944.0,13.0,128.0
7014.722416250002,-945.0,13.0,129.0
7014.742416250003,-945.0,13.0,127.0
7014.762416250003,-946.0,20.0,119.0
7014.782416250004,-946.0,23.0,110.0
7014.802416250004,-943.0,28.0,112.0
7014.822416250005,-941.0,31.0,119.0
7014.842416250005,-942.0,38.0,121.0
7014.8624162500055,-947.0,41.0,120.0
7014.882416250006,-941.0,37.0,121.0
7014.902416250006,-940.0,29.0,126.0
7014.922416250007,-944.0,28.0,130.0
7014.942416250007,-953.0,23.0,123.0
7014.962416250008,-949.0,18.0,115.0
7014.6225724159995,-947.0,21.0,120.0
7014.642572416,-946.0,23.0,124.0
7014.662572416,-946.0,24.0,121.0
7014.682572416001,-946.0,24.0,117.0
7014.702572416001,-944.0,24.0,116.0
7014.722572416002,-943.0,24.0,117.0
7014.742572416002,-941.0,24.0,121.0
7014.7625724160025,-939.0,28.0,125.0
7014.782572416003,-941.0,26.0,129.0
7014.802572416003,-946.0,24.0,129.0
7014.822572416004,-954.0,21.0,128.0
7014.842572416004,-953.0,21.0,131.0
7014.862572416005,-951.0,20.0,128.0
7014.882572416005,-944.0,18.0,128.0
7014.902572416006,-938.0,19.0,128.0
7014.922572416006,-942.0,18.0,126.0
7014.942572416006,-942.0,20.0,127.0
7014.962572416007,-948.0,17.0,123.0
7015.336308458,-952.0,16.0,115.0
7015.356308458,-949.0,15.0,106.0
7015.3763084580005,-943.0,13.0,108.0
7015.396308458001,-940.0,17.0,112.0
7015.416308458001,-943.0,19.0,117.0
7015.436308458002,-951.0,19.0,116.0
7015.456308458002,-953.0,19.0,114.0
7015.476308458003,-954.0,16.0,110.0
7015.496308458003,-952.0,16.0,111.0
7015.516308458004,-949.0,17.0,110.0
7015.536308458004,-943.0,19.0,112.0
7015.556308458004,-939.0,22.0,119.0
7015.576308458005,-940.0,26.0,122.0
7015.596308458005,-947.0,25.0,124.0
7015.616308458006,-952.0,23.0,121.0
7015.636308458006,-952.0,19.0,116.0
7015.656308458007,-949.0,15.0,119.0
7015.676308458007,-946.0,15.0,117.0
7015.338519291001,-946.0,16.0,117.0
7015.358519291001,-940.0,18.0,124.0
7015.378519291002,-942.0,19.0,131.0
7015.398519291002,-949.0,22.0,137.0
7015.418519291003,-955.0,23.0,132.0
7015.438519291003,-945.0,27.0,130.0
7015.4585192910035,-937.0,31.0,135.0
7015.478519291004,-937.0,33.0,138.0
7015.498519291004,-938.0,30.0,139.0
7015.518519291005,-942.0,22.0,137.0
7015.538519291005,-946.0,15.0,136.0
7015.558519291006,-952.0,6.0,136.0
7015.578519291006,-949.0,2.0,129.0
7015.598519291007,-946.0,0.0,125.0
7015.618519291007,-942.0,1.0,119.0
7015.6385192910075,-944.0,5.0,113.0
7015.658519291008,-941.0,13.0,116.0
7015.678519291008,-942.0,19.0,124.0
7016.027303541001,-943.0,23.0,129.0
7016.047303541001,-943.0,25.0,135.0
7016.067303541002,-947.0,29.0,134.0
