time_lsl,uV
7013.409824429154,-69.0
7013.417516736846,-57.0
7013.425209044538,-50.0
7013.43290135223,-65.0
7013.440593659922,-43.0
7013.4482859676145,-67.0
7013.455978275307,-65.0
7013.463670582999,-43.0
7013.471362890691,-65.0
7013.479055198383,-43.0
7013.4867475060755,-52.0
7013.494439813768,-67.0
7013.50213212146,-45.0
7013.509824429152,-67.0
7013.517516736844,-57.0
7013.5252090445365,-57.0
7013.532901352229,-74.0
7013.540593659921,-40.0
7013.548285967613,-48.0
7013.555978275305,-38.0
7013.5636705829975,-33.0
7013.57136289069,-74.0
7013.579055198382,-57.0
7013.586747506074,-65.0
7013.594439813766,-72.0
7013.602132121458,-45.0
7013.609824429151,-65.0
7013.617516736843,-55.0
7013.625209044535,-57.0
7013.632901352227,-74.0
7013.640593659919,-40.0
7013.648285967612,-55.0
7013.655978275304,-57.0
7013.663670582996,-57.0
7013.671362890688,-86.0
7013.67905519838,50.0
7013.686747506073,308.0
7013.694439813765,457.0
7013.702132121457,291.0
7013.709824429149,-28.0
7013.717516736841,-77.0
7013.725209044534,-33.0
7013.732901352226,-89.0
7013.740593659918,-79.0
7013.74828596761,-74.0
7013.755978275302,-81.0
7013.763670582995,-77.0
7013.771362890687,-98.0
7013.779055198379,-84.0
7013.786747506071,-91.0
7013.794439813763,-96.0
7013.8021321214555,-72.0
7013.809824429148,-93.0
7013.81751673684,-81.0
7013.825209044532,-69.0
7013.832901352224,-89.0
7013.8405936599165,-38.0
7013.848285967609,-38.0
7013.855978275301,-105.0
7013.863670582993,-65.0
7013.871362890685,-19.0
7013.8790551983775,-62.0
7013.88674750607,-40.0
7013.894439813762,-14.0
7013.902132121454,-36.0
7013.909824429146,-9.0
7013.9175167368385,-9.0
7013.925209044531,-2.0
7013.932901352223,16.0
7013.940593659915,0.0
7013.948285967607,21.0
7013.9559782752995,16.0
7013.963670582992,4.0
7013.9527165121535,19.0
7013.960408819846,-14.0
7013.968101127538,-12.0
7013.97579343523,-12.0
7013.983485742922,-40.0
7013.9911780506145,-14.0
7013.998870358307,-24.0
7014.006562665999,-24.0
7014.014254973691,-2.0
7014.021947281383,-24.0
7014.0296395890755,-2.0
7014.037331896768,-7.0
7014.04502420446,-19.0
7014.052716512152,4.0
7014.060408819844,-16.0
7014.0681011275365,-7.0
7014.075793435229,2.0
7014.083485742921,-19.0
7014.091178050613,9.0
7014.098870358305,-4.0
7014.106562665997,-4.0
7014.11425497369,12.0
7014.121947281382,-19.0
7014.129639589074,0.0
7014.137331896766,7.0
7014.145024204458,-4.0
7014.152716512151,16.0
7014.160408819843,-14.0
7014.168101127535,0.0
7014.175793435227,19.0
7014.183485742919,-7.0
7014.191178050612,14.0
7014.198870358304,-2.0
7014.206562665996,-9.0
7014.214254973688,9.0
7014.22194728138,-19.0
7014.229639589073,2.0
7014.237331896765,0.0
7014.245024204457,-16.0
7014.252716512149,7.0
7014.260408819841,-21.0
7014.268101127534,-7.0
7014.275793435226,7.0
7014.283485742918,-24.0
7014.29117805061,4.0
7014.298870358302,-16.0
7014.3065626659945,-31.0
7014.314254973687,-4.0
7014.321947281379,-40.0
7014.329639589071,-26.0
7014.337331896763,-16.0
7014.3450242044555,-21.0
7014.352716512148,14.0
7014.36040881984,-16.0
7014.368101127532,-14.0
7014.375793435224,-7.0
7014.3834857429165,-40.0
7014.391178050609,-9.0
7014.398870358301,-26.0
7014.406562665993,-31.0
7014.414254973685,-4.0
7014.4219472813775,-40.0
7014.42963958907,-14.0
7014.437331896762,-14.0
7014.445024204454,-38.0
7014.452716512146,-7.0
7014.460408819838,-43.0
7014.468101127531,-45.0
7014.475793435223,26.0
7014.483485742915,224.0
7014.491178050607,529.0
7014.498870358299,505.0
7014.506562665992,180.0
7014.524696574654,-38.0
7014.532388882346,-74.0
7014.540081190038,-28.0
7014.54777349773,-69.0
7014.5554658054225,-89.0
7014.563158113115,-33.0
7014.570850420807,-72.0
7014.578542728499,-62.0
7014.586235036191,-36.0
7014.5939273438835,-72.0
7014.601619651576,-36.0
7014.609311959268,-48.0
7014.61700426696,-57.0
7014.624696574652,-24.0
7014.6323888823445,-55.0
7014.640081190037,-26.0
7014.647773497729,-21.0
7014.655465805421,-40.0
7014.663158113113,0.0
7014.670850420805,-21.0
7014.678542728498,-9.0
7014.68623503619,16.0
7014.693927343882,-9.0
7014.701619651574,28.0
7014.709311959266,19.0
7014.717004266959,16.0
7014.724696574651,52.0
7014.732388882343,16.0
7014.740081190035,43.0
7014.747773497727,50.0
7014.75546580542,21.0
7014.763158113112,55.0
7014.770850420804,26.0
7014.778542728496,28.0
7014.786235036188,43.0
