time_lsl,value
7013.963544,"{""uV"":[-69,-57,-50,-65,-43,-67,-65,-43,-65,-43,-52,-67,-45,-67,-57,-57,-74,-40,-48,-38,-33,-74,-57,-65,-72,-45,-65,-55,-57,-74,-40,-55,-57,-57,-86,50,308,457,291,-28,-77,-33,-89,-79,-74,-81,-77,-98,-84,-91,-96,-72,-93,-81,-69,-89,-38,-38,-105,-65,-19,-62,-40,-14,-36,-9,-9,-2,16,0,21,16,4],""t_device"":1756822370.1619759,""device"":""H10"",""fs"":130,""seq"":128,""type"":""ecg"",""n"":73}"
7014.259966791,"{""type"":""acc"",""t_device"":1756822370.454596,""device"":""H10"",""range_g"":4,""fs"":50,""mG"":[[-974,55,38],[-966,53,39],[-960,51,39],[-960,45,40],[-959,37,39],[-952,33,42],[-943,31,42],[-940,32,44],[-946,28,43],[-944,28,48],[-946,32,51],[-941,30,48],[-941,31,59],[-948,32,74],[-959,32,74],[-963,33,77],[-960,35,81],[-949,39,88],[-943,43,95],[-937,45,94],[-937,45,97],[-943,43,101],[-946,37,106],[-942,38,104],[-945,38,110],[-945,39,97],[-939,34,98],[-939,31,108],[-941,29,117],[-940,25,124],[-940,23,123],[-942,22,121],[-940,25,127],[-940,27,134],[-940,27,137],[-941,28,140]],""n"":36,""seq"":175}"
7014.505939083,"{""uV"":[19,-14,-12,-12,-40,-14,-24,-24,-2,-24,-2,-7,-19,4,-16,-7,2,-19,9,-4,-4,12,-19,0,7,-4,16,-14,0,19,-7,14,-2,-9,9,-19,2,0,-16,7,-21,-7,7,-24,4,-16,-31,-4,-40,-26,-16,-21,14,-16,-14,-7,-40,-9,-26,-31,-4,-40,-14,-14,-38,-7,-43,-45,26,224,529,505,180],""t_device"":1756822370.722019,""device"":""H10"",""fs"":130,""seq"":129,""type"":""ecg"",""n"":73}"
7014.8746873125,"{""type"":""hr"",""device"":""H10"",""bpm"":71,""seq"":74,""t_device"":1756822371.0208921}"
7014.875230145499,"{""te"":1756822341.7603304,""type"":""rr"",""device"":""H10"",""seq"":87,""ms"":831,""t_device"":1756822371.0208921}"
7014.8753832285,"{""type"":""rr"",""device"":""H10"",""ms"":829,""te"":1756822342.5893304,""seq"":88,""t_device"":1756822371.0208921}"
7014.961000437499,"{""range_g"":4,""t_device"":1756822371.172781,""device"":""H10"",""fs"":50,""seq"":177,""type"":""acc"",""mG"":[[-944,26,143],[-948,25,141],[-948,22,138],[-948,18,131],[-944,13,128],[-945,13,129],[-945,13,127],[-946,20,119],[-946,23,110],[-943,28,112],[-941,31,119],[-942,38,121],[-947,41,120],[-941,37,121],[-940,29,126],[-944,28,130],[-953,23,123],[-949,18,115]],""n"":18}"
7014.9624591875,"{""type"":""acc"",""t_device"":1756822371.532781,""device"":""H10"",""range_g"":4,""fs"":50,""mG"":[[-947,21,120],[-946,23,124],[-946,24,121],[-946,24,117],[-944,24,116],[-943,24,117],[-941,24,121],[-939,28,125],[-941,26,129],[-946,24,129],[-954,21,128],[-953,21,131],[-951,20,128],[-944,18,128],[-938,19,128],[-942,18,126],[-942,20,127],[-948,17,123]],""n"":18,""seq"":178}"
7015.077812395499,"{""uV"":[-38,-74,-28,-69,-89,-33,-72,-62,-36,-72,-36,-48,-57,-24,-55,-26,-21,-40,0,-21,-9,16,-9,28,19,16,52,16,43,50,21,55,26,28,43,-2,19,4,-7,19,-19,4,12,-14,16,-7,0,19,-16,14,4,-7,19,-16,4,12,-16,14,-12,-12,12,-16,9,0,-9,19,-16,-4,0,-24,9,-14,-14],""t_device"":1756822371.2932348,""device"":""H10"",""fs"":130,""seq"":130,""type"":""ecg"",""n"":73}"
7015.616259103499,"{""seq"":131,""t_device"":1756822371.8323789,""uV"":[4,-28,0,-7,-21,4,-31,-12,-2,-38,-9,-24,-9,24,-9,7,-2,-19,7,-19,-2,7,-24,4,-12,-12,9,-19,-7,9,180,496,541,296,26,-48,-2,-55,-67,-31,-65,-43,-36,-52,-31,-55,-40,-28,-52,-26,-40,-40,-19,-45,-16,-12,-31,-2,-16,-4,4,-21,0,-14,-21,-4,-33,-26,-43,-77,-65,-98,-101],""type"":""ecg"",""fs"":130,""n"":73,""device"":""H10""}"
7015.675726895499,"{""seq"":180,""t_device"":1756822371.891286,""mG"":[[-952,16,115],[-949,15,106],[-943,13,108],[-940,17,112],[-943,19,117],[-951,19,116],[-953,19,114],[-954,16,110],[-952,16,111],[-949,17,110],[-943,19,112],[-939,22,119],[-940,26,122],[-947,25,124],[-952,23,121],[-952,19,116],[-949,15,119],[-946,15,117]],""range_g"":4,""type"":""acc"",""fs"":50,""n"":18,""device"":""H10""}"
7015.678099353499,"{""type"":""acc"",""t_device"":1756822372.2512858,""device"":""H10"",""range_g"":4,""fs"":50,""mG"":[[-946,16,117],[-940,18,124],[-942,19,131],[-949,22,137],[-955,23,132],[-945,27,130],[-937,31,135],[-937,33,138],[-938,30,139],[-942,22,137],[-946,15,136],[-952,6,136],[-949,2,129],[-946,0,125],[-942,1,119],[-944,5,113],[-941,13,116],[-942,19,124]],""n"":18,""seq"":181}"
7015.831072978499,"{""type"":""hr"",""device"":""H10"",""bpm"":72,""seq"":75,""t_device"":1756822372.0399241}"
7015.8314531875,"{""te"":1756822343.4023304,""type"":""rr"",""device"":""H10"",""seq"":89,""ms"":813,""t_device"":1756822372.0399241}"
7016.195842978499,"{""uV"":[-96,-125,-105,-125,-137,-115,-146,-139,-137,-151,-137,-161,-146,-139,-171,-139,-146,-156,-134,-158,-139,-146,-171,-139,-158,-156,-144,-166,-139,-156,-166,-142,-168,-144,-142,-163,-137,-163,-156,-139,-173,-146,-161,-171,-139,-171,-161,-166,-192,-163,-185,-175,-166,-211,-190,-207,-221,-195,-226,-224,-228,-144,151,308,142,-154,-286,-226,-264,-303,-262,-298,-296],""t_device"":1756822372.401892,""device"":""H10"",""fs"":130,""seq"":132,""type"":""ecg"",""n"":73}"
