LSL_Timestamp,BreathingValue
176849.2840393,0
176849.3018488,460
176849.3198489,467
176849.3407534,478
176849.3616822,478
176849.379633,479
176849.4002833,480
176849.4211716,479
176849.4391025,480
176849.4595939,479
176849.4805969,478
176849.4988039,479
176849.5197358,479
176849.5376789,478
176849.5586227,480
176849.5765778,478
176849.5975224,479
176849.6184694,479
176849.6364234,479
176849.6573513,479
176849.675298,479
176849.696249,479
176849.7171965,479
176849.7351399,479
176849.7560865,479
176849.7740785,479
176849.794997,479
176849.8159649,479
176849.8339023,479
176849.8549044,479
176849.8727956,479
176849.8935271,479
176849.913629,479
176849.9346579,479
176849.9525433,480
176849.973458,479
176849.9914398,479
176850.0123611,479
176850.033309,479
176850.0512655,479
176850.0721955,479
176850.0901472,479
176850.1110941,480
176850.1320433,479
176850.1500463,480
176850.170946,480
176850.1888832,480
176850.2098306,480
176850.2308243,480
176850.2487412,480
176850.2703731,480
176850.2883095,480
176850.3092438,479
176850.327204,480
176850.3481115,480
176850.369064,480
176850.3870151,480
176850.4067817,480
176850.4269882,479
176850.447941,480
176850.4655765,479
176850.4851845,479
176850.5060997,478
176850.5270458,479
176850.5449917,478
176850.5649474,479
176850.5844613,479
176850.6051285,478
176850.6257346,478
176850.6457357,478
176850.6635041,478
176850.6842894,478
176850.7052071,478
176850.722683,478
176850.7431839,478
176850.7637016,478
176850.7816435,479
176850.8028456,478
176850.8237748,479
176850.8409897,478
176850.8618799,478
176850.8828326,478
176850.9007886,478
176850.92098,477
176850.9418829,478
176850.9598572,478
176850.9808015,479
176850.9987323,478
176851.0199036,479
176851.0408405,478
176851.0595279,478
176851.0805142,478
176851.0984183,478
176851.1193808,479
176851.138982,479
176851.1569338,479
176851.1778716,479
176851.1988203,479
176851.2168029,478
176851.2377149,479
176851.2556746,478
176851.2766568,479
176851.2975655,479
176851.3155122,479
176851.3364701,478
176851.3544163,479
176851.3753861,478
176851.3953199,479
176851.4157727,479
176851.4337247,479
176851.4546596,479
176851.4756005,480
176851.4936202,479
176851.5145222,480
176851.5324837,479
176851.5534264,479
176851.5743674,479
176851.5923374,479
176851.6128352,479
176851.6307192,479
176851.6512793,479
176851.6722719,479
176851.6913737,479
176851.7122537,478
176851.7301918,478
176851.751136,478
176851.7698356,478
176851.7903765,479
176851.811323,478
176851.8292688,479
176851.8502085,478
176851.868192,479
176851.8891625,479
176851.9095882,478
176851.9275351,479
176851.9484901,478
176851.9694761,478
176851.9873904,478
176852.0083139,478
176852.0262705,478
176852.0457889,478
176852.0679153,478
176852.0858911,478
176852.1068309,478
176852.1247638,479
176852.1456922,478
176852.1666461,479
176852.1846425,479
176852.2055406,478
176852.2234867,479
176852.244427,478
176852.2654251,478
176852.2833512,479
176852.3042923,478
176852.322219,478
176852.3431699,478
176852.3641138,478
176852.3820601,478
176852.4030127,479
176852.4209505,477
176852.4418995,478
176852.4628389,477
176852.4808224,477
176852.5017551,478
176852.5197216,478
176852.5406467,478
176852.561627,479
176852.5804739,478
176852.6009376,479
176852.6184231,479
176852.6388917,478
176852.6598296,479
176852.6777811,478
176852.6987274,478
176852.7196764,479
176852.7376291,478
176852.7585602,479
176852.7765148,479
176852.7974595,479
176852.8184113,478
176852.8363524,480
176852.8573048,479
176852.8752485,479
176852.8961953,479
176852.916707,478
176852.9346344,478
176852.9556241,479
176852.9765459,478
176852.9944773,479
176853.0154204,478
176853.0333689,479
176853.0543181,479
176853.0755499,479
176853.0934921,479
176853.1144325,479
176853.1323849,479
176853.1533397,479
176853.1742755,479
176853.1922294,479
176853.2131726,479
176853.2311216,480
176853.2521043,480
176853.273021,480
176853.2909654,480
176853.3119212,480
176853.3298743,479
176853.3508247,480
176853.3717574,478
176853.3897243,479
176853.4106629,479
176853.4286068,479
176853.4495485,479
176853.4705004,479
176853.4884747,479
176853.5093883,479
176853.5273329,480
176853.5482741,479
176853.5692518,480
176853.5871865,480
176853.6081131,480
176853.627324,480
176853.647296,481
176853.6682476,480
176853.6859073,480
176853.7074238,481
176853.7253732,480
176853.7463249,480
176853.7642694,480
176853.7852396,480
176853.8061746,481
176853.824131,480
176853.8450582,481
176853.8630099,480
176853.8839551,480
176853.9035111,481
176853.9244464,481
176853.9423908,482
176853.9633353,482
176853.9842947,481
176854.0022509,481
176854.0231848,480
176854.0411297,481
176854.0620736,480
176854.0830198,480
176854.1009721,480
176854.1219405,480
176854.1398977,480
176854.1608182,480
176854.1817824,480
176854.1997015,480
176854.2206626,480
176854.2386077,481
176854.2595457,480
176854.2804922,481
176854.2984438,481
176854.3193919,481
176854.337353,480
176854.3582865,482
176854.3792225,479
176854.397174,481
176854.4181509,480
176854.436081,480
176854.4570152,480
176854.4779574,481
176854.4959126,481
176854.5168529,480
176854.534812,481
176854.5557617,480
176854.5767101,481
176854.594283,480
176854.6142513,481
176854.6351934,481
176854.6531435,481
176854.6740916,482
176854.695026,481
176854.7130013,482
176854.7339262,480
176854.7518709,481
176854.7728184,481
176854.7937952,481
176854.8117353,482
176854.8326609,481
176854.8506143,482
176854.8715609,480
176854.892501,482
176854.9099752,480
176854.9309259,482
176854.9518708,481
176854.9698291,481
176854.9907636,482
176855.0087426,481
176855.0296633,482
176855.0505988,481
176855.0685528,482
176855.0895344,482
176855.107457,481
176855.1283975,481
176855.1493344,481
176855.1672904,481
176855.1882448,482
176855.2061953,481
176855.2271388,482
176855.2480721,480
176855.2660327,481
176855.2870437,482
176855.3049697,481
176855.3259013,482
176855.3468534,480
176855.3647754,481
176855.3848013,480
176855.4057367,481
176855.4236826,481
176855.4446058,481
176855.465581,481
176855.4835017,481
176855.5044528,482
176855.5224072,481
