LSL_Timestamp,BreathingValue
176949.7638254,0
176949.7726584,375
176949.7936168,375
176949.8145792,275
176949.8325351,272
176949.8534727,268
176949.8738271,262
176949.8917837,259
176949.912243,257
176949.9301863,260
176949.9502635,262
176949.9707085,266
176949.9894857,266
176950.0098804,266
176950.0308183,263
176950.0487814,258
176950.0697705,253
176950.0906698,247
176950.1086112,245
176950.1295679,246
176950.1475162,252
176950.1684605,261
176950.1893851,271
176950.2073405,275
176950.2282801,275
176950.2462484,271
176950.2667723,269
176950.2876988,273
176950.3056626,281
176950.3266014,291
176950.3475262,298
176950.3655597,298
176950.3848771,291
176950.4058079,279
176950.426743,269
176950.4447022,263
176950.4656363,265
176950.4835888,269
176950.5045259,275
176950.5254729,278
176950.5434288,279
176950.5638915,277
176950.5848513,276
176950.6027846,273
176950.623763,274
176950.6417048,272
176950.6626294,272
176950.6835994,271
176950.7015479,268
176950.7224919,266
176950.742128,261
176950.7621731,257
176950.7800863,254
176950.8010792,253
176950.8219946,254
176950.8398928,257
176950.8608329,256
176950.8802193,255
176950.8991493,248
176950.9196567,242
176950.9398419,235
176950.9574899,228
176950.9779011,225
176950.9988243,226
176951.0167861,233
176951.0369226,245
176951.0563271,258
176951.0781763,266
176951.0976394,268
176951.1155833,264
176951.1352848,256
176951.1562543,248
176951.1771827,242
176951.1951237,239
176951.21514,238
176951.2349132,237
176951.2558314,232
176951.2737731,226
176951.2932809,217
176951.3139433,208
176951.3329205,199
176951.3538477,190
176951.373193,180
176951.3936304,170
176951.4137277,159
176951.4316728,149
176951.4517313,141
176951.4709307,134
176951.4913762,127
176951.5126445,119
176951.5306373,109
176951.5515463,98
176951.5724917,85
176951.5904406,74
176951.6114153,60
176951.6318714,47
176951.649824,31
176951.6702802,16
176951.688238,8
176951.7091714,0
176951.7301178,0
176951.7480828,0
176951.7690313,0
176951.7899652,0
176951.8079061,0
176951.8288656,0
176951.8468063,0
176951.8662918,0
176951.887242,0
176951.9077114,0
176951.9256608,0
176951.9466192,0
176951.9675633,0
176951.9855868,0
176952.0064877,0
176952.0244231,0
176952.045368,0
176952.0663526,0
176952.084272,0
176952.1051905,0
176952.1252347,0
176952.143176,0
176952.1641206,0
176952.1849236,0
176952.2028544,0
176952.2237953,0
176952.2417466,0
176952.2622207,0
176952.2834912,0
176952.3014512,0
176952.3223859,0
176952.3403401,0
176952.3613155,0
176952.3822364,0
176952.4001892,0
176952.4211419,0
176952.4390804,0
176952.4600237,0
176952.4809582,0
176952.4989184,0
176952.5198684,0
176952.537827,0
176952.5583138,0
176952.5792541,0
176952.5972031,0
176952.6181543,0
176952.639081,0
176952.6570616,0
176952.6769878,0
176952.697928,0
176952.7158799,0
176952.7368224,0
176952.757775,0
176952.7757321,0
176952.7966597,0
176952.814618,0
176952.8355695,5
176952.8560183,14
176952.874016,32
176952.8949247,53
176952.9153869,77
176952.933336,100
176952.9543375,120
176952.9722502,136
176952.993189,147
176953.0141235,154
176953.0320793,161
