LSL_Timestamp,BreathingValue
650956.7046758,0
650956.7134896,473
650956.734447,473
650956.7523989,474
650956.7733405,473
650956.7912859,475
650956.812291,474
650956.8331704,474
650956.8511115,474
650956.8720535,473
650956.8900197,474
650956.9109438,474
650956.931888,474
650956.9498453,474
650956.970783,474
650956.9887327,474
650957.0097002,474
650957.030641,474
650957.048615,474
650957.0695391,474
650957.0874937,473
650957.1084371,473
650957.1293935,474
650957.1473327,474
650957.1682569,474
650957.1862271,475
650957.2071609,473
650957.2280955,474
650957.2461255,474
650957.2669953,473
650957.2849835,474
650957.3058918,473
650957.3268769,473
650957.3447935,473
650957.3657667,474
650957.383687,473
650957.4046223,473
650957.4255728,473
650957.4435168,473
650957.4644634,474
650957.4824122,474
650957.5033625,474
650957.524334,473
650957.5422642,474
650957.5631973,474
650957.5812028,473
650957.6021739,475
650957.6231962,473
650957.6410619,474
650957.6619775,474
650957.6799086,473
650957.7008353,474
650957.7217753,473
650957.7397491,474
650957.7607127,473
650957.778634,473
650957.7995747,473
650957.8205294,473
650957.8384815,474
650957.859444,473
650957.877387,474
650957.8983658,473
650957.9192616,474
650957.9372407,473
650957.9581915,474
650957.9761186,473
650957.9970451,475
650958.0179904,474
650958.0359447,474
650958.0568834,474
650958.0748699,473
650958.0957935,473
650958.1167279,473
650958.1346705,473
650958.1556117,474
650958.1735661,473
650958.1945242,473
650958.2154837,473
650958.2334239,473
650958.2543618,473
650958.2723164,473
650958.2932468,474
650958.3141896,473
650958.3321527,473
650958.3530852,473
650958.371035,473
650958.3919947,474
650958.4129235,473
650958.430877,473
650958.4518241,473
650958.4697713,474
650958.4907133,474
650958.511665,474
650958.5296206,474
650958.5505664,473
650958.5685206,472
650958.5894802,473
650958.6104316,472
650958.6283692,474
650958.6493076,474
650958.6673081,474
650958.6881969,473
650958.7091335,473
650958.7270932,472
650958.7480291,473
650958.7659788,473
650958.7869244,473
650958.8078689,473
650958.8258292,474
650958.8467969,473
650958.8647443,474
650958.8856828,473
650958.9066314,473
650958.9245992,473
650958.9455187,473
650958.9634619,473
650958.9844346,473
650959.0053387,473
650959.0232892,473
650959.0442463,474
650959.0621925,472
650959.0831454,474
650959.1041029,472
650959.122031,474
650959.142981,473
650959.1609389,473
650959.1818715,474
650959.2028132,473
650959.2207707,474
650959.2417442,472
650959.2596712,474
650959.2806351,472
650959.30155,473
650959.3195001,473
650959.3404419,473
650959.3584043,473
650959.379352,473
