LSL_Timestamp,BreathingValue
651071.6759453,0
651071.6878946,474
651071.7088535,474
651071.7298279,473
651071.7477438,473
651071.7686951,473
651071.786639,473
651071.8076329,473
651071.8285385,473
651071.8464842,474
651071.8674202,473
651071.8854211,474
651071.9063279,473
651071.92727,474
651071.9452113,473
651071.9662063,473
651071.9841577,473
651072.0051075,473
651072.0260013,474
651072.0439671,473
651072.0648998,474
651072.0828459,473
651072.1038021,474
651072.1247313,473
651072.1426744,474
651072.1636136,474
651072.1816293,474
651072.2025167,473
651072.2234841,474
651072.2414142,473
651072.2623974,473
651072.2803091,473
651072.3012647,473
651072.3222098,474
651072.3401502,473
651072.3610859,473
651072.3790393,473
651072.3999908,473
651072.4209277,473
651072.4388844,473
651072.459838,474
651072.4778461,473
651072.4987253,473
651072.5196805,474
651072.537641,473
651072.5586503,474
651072.576558,473
651072.5975088,475
651072.6184466,473
651072.6364613,474
651072.6573483,473
651072.6752695,474
651072.6961938,474
651072.7172031,474
651072.7351073,474
651072.7560535,475
651072.7740062,474
651072.7949557,475
651072.8159069,474
651072.8338652,475
651072.8548171,473
651072.872738,474
651072.893683,473
651072.9146414,474
651072.9326227,474
651072.9535159,475
651072.9714811,474
651072.9924142,474
651073.0134188,474
651073.031303,474
651073.0522562,474
651073.0702124,475
651073.0911402,475
651073.1120918,475
651073.1300313,475
651073.1509844,474
651073.1689479,474
651073.1898717,474
651073.2108315,473
651073.2288084,474
651073.2497129,473
651073.2676586,474
651073.2886057,474
651073.3095841,474
651073.3275025,475
651073.3484473,474
651073.3663976,474
651073.3873792,474
651073.4082909,474
651073.4262401,474
651073.447192,474
651073.4651308,473
651073.4860739,474
651073.5070244,473
651073.5249766,474
651073.5459524,473
651073.5639109,474
651073.5848232,474
651073.6057637,474
651073.6237067,474
651073.6446636,474
651073.662602,473
651073.6835838,474
651073.7044985,473
651073.7224417,474
651073.7433879,474
651073.7613359,474
651073.7822905,474
651073.8032599,474
651073.8212005,474
651073.8421614,475
651073.8600942,474
651073.8810583,475
651073.9019833,474
651073.9199253,475
651073.9408589,474
651073.9588096,475
651073.9798148,474
651074.0007048,475
651074.0186537,474
651074.0396127,474
651074.0575514,473
651074.0785029,474
651074.0994499,475
651074.1173859,474
651074.1383953,474
651074.15629,474
651074.1772273,474
651074.1981767,473
651074.2161435,474
651074.2371077,474
651074.2550414,474
651074.2759744,474
651074.2969289,475
651074.3148779,474
651074.3358198,474
651074.3537545,474
651074.3747372,474
651074.3956737,474
651074.4136239,473
651074.4345591,475
651074.4524997,473
651074.4734367,475
651074.4943844,474
651074.5123426,475
651074.5333043,475
651074.5512257,474
651074.5721843,475
651074.593116,475
651074.6110699,474
651074.6320163,475
651074.6499728,474
651074.6709151,475
651074.6918512,473
651074.7098165,474
651074.7307476,473
651074.7486969,474
651074.7696736,474
651074.7905898,474
651074.8085362,475
651074.8294873,474
651074.8474341,474
651074.8684179,474
651074.8894462,474
651074.9073206,474
651074.9282576,474
651074.9462173,474
651074.9671448,474
651074.9880745,474
651075.0060115,474
651075.0269793,475
651075.0449294,474
651075.065901,475
651075.0868013,474
651075.1047657,475
651075.1256927,474
651075.1436476,475
651075.1645904,473
651075.1855298,474
651075.2034831,474
651075.2244452,474
651075.2423884,474
651075.2633225,475
651075.2842633,474
651075.3022454,475
651075.3231625,475
651075.3411114,476
651075.3620578,475
651075.3830349,474
651075.4009516,473
651075.4218944,473
651075.4398466,474
651075.4608029,474
651075.4817464,474
651075.4996869,474
651075.5206317,473
651075.5385842,473
651075.5595251,473
651075.5804705,474
651075.5984467,473
651075.6193844,473
651075.6373268,473
651075.65827,474
651075.6792491,473
651075.6971763,474
651075.7181071,474
651075.7360775,474
651075.7570373,475
651075.7779669,474
651075.795911,475
651075.8168515,474
