LSL_Timestamp,BreathingValue
651095.6659232,0
651095.6777243,475
651095.6956819,474
651095.7166238,476
651095.7345743,475
651095.7555692,475
651095.7764934,475
651095.7944325,475
651095.8153523,475
651095.8333289,475
651095.8542963,475
651095.8751876,476
651095.8931494,476
651095.9140962,475
651095.9320263,477
651095.9529774,474
651095.9739245,475
651095.9918718,474
651096.012838,474
651096.0307659,475
651096.0517157,475
651096.0726727,475
651096.09061,475
651096.1115605,475
651096.1294998,474
651096.1504965,476
651096.1714033,474
651096.1893555,476
651096.210316,475
651096.228241,476
651096.249181,475
651096.2701208,475
651096.2880935,475
651096.3090185,475
651096.3269716,475
651096.3479151,476
651096.3688779,475
651096.3868162,476
651096.4077685,475
651096.4257097,476
651096.4466518,476
651096.467638,475
651096.4855517,475
651096.5065087,475
651096.5244523,475
651096.5453887,475
651096.5663402,475
651096.5842942,475
651096.6052434,475
651096.623204,476
651096.644167,475
651096.6651019,475
651096.6830592,475
651096.7040065,475
651096.7219386,476
651096.7428793,475
651096.7638496,475
651096.7817677,475
651096.8027083,474
651096.8206725,475
651096.8417263,474
651096.8625684,475
651096.8805072,475
651096.9014589,475
651096.9194037,474
651096.9403593,475
651096.9612956,474
651096.9792474,475
651097.0002027,474
651097.0181377,475
651097.0390818,475
651097.0600231,474
651097.077962,475
651097.0989215,474
651097.1168602,475
651097.1379118,473
651097.1587533,475
651097.1767012,473
651097.1976475,475
651097.2155929,474
651097.2365353,475
651097.2574917,474
651097.2754316,475
651097.2963718,475
651097.3143256,475
651097.3352867,475
651097.3562177,474
651097.3741669,474
651097.3951162,474
651097.4130687,475
651097.4340163,474
651097.4549497,475
651097.4729023,474
651097.4938504,474
651097.5118399,474
651097.5327521,474
651097.5536944,475
651097.5716398,475
651097.5926241,475
651097.6105467,475
651097.6314868,474
651097.6524407,474
651097.6703927,473
651097.6913438,474
651097.7093128,473
651097.7302265,475
651097.7511659,474
651097.7691205,475
651097.7900543,474
651097.8080568,474
651097.8289565,475
651097.8499378,474
651097.8678819,476
651097.8888882,474
651097.9067735,475
651097.9277442,475
651097.9486763,475
651097.9665965,475
651097.9875287,475
651098.0054929,475
651098.0264465,474
651098.0473991,474
651098.0653252,474
651098.0862674,474
651098.1042823,475
651098.1251752,475
651098.1461218,475
651098.1640694,475
651098.1850454,475
651098.202959,475
651098.2239093,475
651098.2448428,475
651098.2628124,475
651098.2837428,475
651098.3016925,475
651098.3226317,475
651098.3435755,475
651098.3615297,474
651098.3824789,475
651098.4004355,474
651098.4214497,474
651098.4423384,474
651098.4603015,474
651098.4812095,474
651098.4991941,474
651098.5201093,475
651098.5410435,475
651098.5589982,475
651098.5799683,474
651098.5979158,475
651098.6188394,474
