LSL_Timestamp,BreathingValue
176891.9070568,0
176891.9071835,475
176891.9072852,474
176891.907383,475
176891.9074797,475
176891.9075752,475
176891.9270793,475
176891.9468903,475
176891.9666644,475
176891.9863839,475
176892.0060992,475
176892.0258665,475
176892.045588,475
176892.0653716,475
176892.0850879,476
176892.1048513,475
176892.1246285,475
176892.1443704,475
176892.1641209,474
176892.1840007,475
176892.2036176,474
176892.2233876,474
176892.2431147,474
176892.2629252,474
176892.2826365,474
176892.3023663,474
176892.3221454,474
176892.3419218,474
176892.3616462,474
176892.3813865,474
176892.4011602,474
176892.4210045,473
176892.4406885,474
176892.4604342,474
176892.4801656,475
176892.4999495,474
176892.5197225,475
176892.5394565,474
176892.5592058,475
176892.578937,473
176892.5986807,475
176892.6184465,473
176892.6382048,475
176892.6579772,474
176892.6777162,475
176892.6974428,474
176892.7171868,474
176892.7369796,474
176892.756749,474
176892.7765073,474
