time_lsl,ad
62145.2863793997,717.0
62145.30613036242,711.0
62145.32588132513,706.0
62145.34563228785,702.0
62145.365383250566,702.0
62145.38513421328,702.0
62145.404885175994,702.0
62145.42463613871,700.0
62145.44438710142,698.0
62145.46413806414,696.0
62145.48388902686,696.0
62145.503639989576,696.0
62145.52339095229,698.0
62145.543141915005,696.0
62145.56289287772,694.0
62145.58264384043,688.0
62145.60239480315,681.0
62145.62214576587,673.0
62145.64189672858,665.0
62145.6616476913,658.0
62145.681398654015,652.0
62145.701149616725,642.0
62145.72090057944,629.0
62145.74065154216,609.0
62145.76040250487,585.0
62145.78015346759,558.0
62145.79990443031,532.0
62145.81965539302,510.0
62145.839406355735,486.0
62145.85915731845,465.0
62145.87890828116,442.0
62145.89865924388,416.0
62145.9184102066,395.0
62145.93816116932,377.0
62145.95791213203,368.0
62145.977663094745,360.0
62145.99741405746,352.0
62146.017165020174,338.0
62146.03691598289,318.0
62146.05666694561,297.0
62146.07641790832,275.0
62146.09616887104,260.0
62146.115919833755,247.0
62146.135670796466,238.0
62146.155421759184,229.0
62146.1751727219,219.0
62146.19492368461,206.0
62146.21467464733,194.0
62146.23442561005,180.0
62146.25417657276,167.0
62146.273927535476,155.0
62146.293678498194,142.0
62146.313429460904,131.0
62146.33318042362,118.0
62146.35293138634,108.0
62146.37268234906,97.0
62146.39243331177,87.0
62146.412184274486,77.0
62146.431935237204,65.0
62146.451686199915,56.0
62146.47143716263,47.0
62146.49118812535,41.0
62146.51093908806,31.0
62146.53069005078,19.0
62146.550441013496,11.0
62146.57019197621,2.0
62146.589942938925,0.0
62146.60969390164,0.0
62146.62944486435,0.0
62146.64919582707,0.0
62146.66894678979,0.0
62146.6886977525,0.0
62146.70844871522,0.0
62146.728199677935,0.0
62146.747950640645,0.0
62146.76770160336,5.0
62146.78745256608,22.0
62146.8072035288,45.0
62146.82695449151,76.0
62146.84670545423,107.0
62146.866456416945,131.0
62146.886207379655,154.0
62146.90595834237,171.0
62146.92570930509,188.0
62146.9454602678,204.0
62146.96521123052,219.0
62146.98496219324,236.0
62147.00471315595,255.0
62147.024464118665,274.0
62147.04421508138,298.0
62147.063966044094,321.0
62147.08371700681,344.0
62147.10346796953,368.0
62147.12321893224,391.0
62147.14296989496,411.0
62147.162720857676,431.0
62147.182471820386,447.0
62147.202222783104,461.0
62147.22197374582,469.0
62147.24172470854,476.0
62147.26147567125,480.0
62147.28122663397,488.0
62147.300977596686,501.0
62147.320728559396,522.0
62147.340479522114,552.0
62147.36023048483,584.0
62147.37998144754,617.0
62147.39973241026,643.0
62147.41948337298,662.0
62147.43923433569,675.0
62147.458985298406,683.0
62147.478736261124,692.0
62147.498487223835,700.0
62147.51823818655,708.0
62147.53798914927,716.0
62147.55774011198,724.0
62147.5774910747,730.0
62147.59724203742,738.0
62147.61699300013,744.0
62147.636743962845,752.0
62147.65649492556,757.0
62147.67624588828,763.0
62147.69599685099,764.0
62147.71574781371,766.0
62147.73549877643,765.0
