LSL_Timestamp,BreathingValue
158373.1460347,0
158373.1526473,788
158373.1724133,789
158373.1921928,789
158373.2119159,788
158373.2316998,784
158373.2514269,777
158373.2711487,768
158373.2909995,760
158373.3106504,757
158373.3304102,761
158373.3501575,769
158373.3699181,777
158373.3896728,781
158373.4094222,782
158373.4291782,778
158373.4489134,773
158373.4686769,770
158373.488464,770
158373.5081812,773
158373.5279376,778
158373.5476742,782
158373.5674507,782
158373.5871977,781
158373.6069669,779
158373.6267243,777
158373.6464711,775
158373.666217,770
158373.6860185,765
158373.7057132,758
158373.7254574,754
158373.7452447,751
158373.7649507,752
158373.7846993,755
158373.8044613,757
158373.8242006,758
158373.8439641,755
158373.8637776,751
158373.8834612,746
158373.9032465,741
158373.9229653,735
158373.9428245,727
158373.9624725,717
158373.9822309,707
158374.0019858,701
158374.0218055,703
158374.0415204,711
158374.0612617,722
158374.0810295,731
158374.1008101,731
158374.1205064,726
158374.1402545,719
158374.1599957,713
158374.1797982,713
158374.1996139,717
158374.2192703,724
158374.2390101,729
158374.2588012,731
158374.2785316,729
158374.298275,727
158374.3180035,726
158374.3378557,726
158374.3575385,725
158374.3772756,722
158374.3970315,715
158374.4167942,709
158374.4365738,706
158374.4563033,705
158374.4760392,708
158374.4957966,712
158374.5155556,714
158374.5352948,714
158374.555017,709
158374.5747983,701
158374.594563,691
158374.6142836,678
158374.6340425,661
158374.6537824,640
158374.6735523,617
158374.6933137,594
158374.7131106,575
158374.7327804,561
158374.7525521,551
158374.7723834,543
158374.7920529,532
158374.8117829,514
158374.8315859,494
158374.8513034,473
158374.8710425,456
158374.8908515,447
158374.9105741,442
158374.9303011,438
158374.9500942,432
158374.9698103,420
158374.9895657,407
158375.0093092,392
158375.0290709,379
158375.0488226,368
158375.0685705,356
158375.0883268,344
158375.1080725,333
158375.1278383,321
158375.1475846,310
158375.1673342,301
158375.1870855,292
158375.2068374,283
158375.2266088,276
158375.2463674,265
158375.2661337,256
158375.2858895,244
158375.3056176,235
158375.3255155,226
158375.3451653,214
158375.364884,201
158375.3846337,186
158375.4043784,174
158375.4241316,164
158375.4438647,163
158375.4636408,161
158375.4833605,157
158375.5031281,145
158375.5228853,126
158375.5426628,104
158375.5624082,85
158375.5821543,73
158375.6018969,66
158375.6216645,63
158375.6414042,58
158375.6611622,52
158375.6809268,41
158375.7006687,33
158375.7204161,25
158375.740171,22
158375.7599221,20
158375.7796445,21
158375.7994126,23
158375.8191464,31
158375.8389378,43
158375.8586898,60
158375.8784289,83
158375.898171,107
158375.9179238,132
158375.9376883,157
158375.9574293,179
158375.9771916,200
158375.9969218,221
158376.0166815,240
158376.0364132,261
158376.0561817,281
158376.0759685,300
158376.0956809,316
158376.1154447,329
158376.1351776,343
158376.154974,359
158376.1747036,380
158376.1944476,405
158376.2142066,430
158376.2339451,451
158376.2537067,468
158376.2734725,478
158376.293219,487
158376.3129604,498
158376.332801,513
158376.3524575,532
158376.3722024,552
158376.3919917,571
158376.4117023,585
158376.431458,597
158376.4512512,606
158376.4709507,616
158376.4907057,627
158376.5104805,638
158376.5302004,649
158376.5499796,658
