LSL_Timestamp,BreathingValue
167851.8450942,0
167851.8451683,746
167851.8623837,747
167851.8833399,709
167851.9043254,712
167851.9217786,714
167851.9419963,713
167851.9629427,713
167851.9830058,710
167852.0009523,706
167852.0218986,699
167852.0418454,691
167852.0627848,682
167852.080733,678
167852.1012698,679
167852.1192379,691
167852.1401236,707
167852.1610549,722
167852.1790095,730
167852.2000032,723
167852.2208999,707
167852.2388504,685
167852.2598086,664
167852.2777376,647
167852.2986707,633
167852.3196488,618
167852.337616,601
167852.3585672,579
167852.3764796,560
167852.3969634,541
167852.4179055,525
167852.4362356,508
167852.4552179,488
167852.4761427,466
167852.4970865,441
167852.5150355,415
167852.5359862,390
167852.5539407,365
167852.5748713,344
167852.5958108,326
167852.6137673,308
167852.6347116,292
167852.6526727,274
167852.6737075,256
167852.6945555,239
167852.7125054,220
167852.7334593,200
167852.7514109,178
167852.7723766,154
167852.7933076,130
167852.8123689,110
167852.8330511,99
167852.8509546,97
167852.8720058,99
167852.8898831,98
167852.9103269,88
167852.9312568,70
167852.9492433,48
167852.9689907,27
167852.9899452,12
167853.009967,3
167853.0306166,0
167853.0485246,0
167853.0694721,0
167853.0874207,0
167853.1083267,0
167853.1276388,0
167853.1474417,0
167853.1678996,0
167853.1881498,0
167853.2073141,0
167853.2264742,0
167853.2480948,0
167853.2660545,0
167853.2856016,0
167853.3057239,0
167853.3260387,0
167853.3439809,0
167853.3649184,0
167853.3856232,0
167853.4035871,0
167853.424514,0
167853.4442227,0
167853.4651731,0
167853.482431,0
167853.5033551,0
167853.5223995,0
167853.5419866,0
167853.5629427,23
167853.5820967,47
167853.6015104,86
167853.6218504,116
167853.6427489,135
167853.6606989,147
167853.6807799,161
167853.6995484,183
167853.7204998,209
167853.7402346,240
167853.7609535,271
167853.7808977,302
167853.7988501,332
167853.8198263,363
167853.8407488,395
167853.8590237,430
167853.8780268,462
167853.8989639,494
167853.918206,519
167853.9391631,546
167853.9571102,572
167853.9780511,601
167853.9975902,630
167854.0185082,658
167854.0382351,682
167854.0561769,701
167854.0767407,716
167854.0946925,728
167854.115649,740
167854.1365485,751
167854.1540408,765
167854.174493,777
167854.1954369,788
167854.2134242,798
167854.2336242,804
167854.2545753,809
167854.2747689,814
167854.2926668,822
167854.3136018,837
167854.3332414,855
167854.3533615,877
167854.3712275,897
167854.3921755,915
167854.4131039,928
167854.4310866,936
167854.4518453,940
167854.4723795,936
167854.4903294,928
167854.5112659,913
167854.5292104,894
167854.5501624,872
167854.5704919,853
167854.5908836,835
167854.608778,823
167854.6297011,815
167854.650641,811
167854.6686266,816
167854.6895581,824
167854.7074918,834
167854.7284366,842
167854.7494059,841
167854.767343,832
167854.7878204,817
167854.8057677,803
167854.8266961,795
167854.8476414,795
167854.8656114,802
167854.8865588,809
167854.9045175,815
167854.924976,812
167854.94591,802
167854.9638905,785
167854.9839984,767
167855.0049371,750
167855.0258609,742
167855.043849,747
167855.0640801,761
167855.0845293,781
167855.1024796,798
167855.1234456,806
167855.1433954,805
167855.1613467,798
167855.1822891,789
167855.2032336,782
167855.2211932,774
167855.2421274,768
167855.2601103,760
167855.2810318,751
167855.3019774,742
167855.3199171,736
167855.3409007,730
167855.3618138,725
167855.3793029,717
167855.4002529,708
167855.4181846,698
167855.4391326,688
167855.4600873,681
167855.4780266,678
167855.4989682,678
167855.5169179,680
167855.5378761,686
167855.5588143,689
167855.5767607,695
167855.5977034,698
167855.6156561,699
167855.6366447,698
167855.6575505,693
167855.6750303,686
167855.6959698,677
167855.7169617,664
167855.7348772,653
167855.755815,641
167855.7738084,635
167855.7947266,636
167855.8156537,643
167855.8336051,652
167855.8545778,659
167855.8731631,655
167855.8946471,640
167855.9146339,617
167855.9325785,591
167855.9535184,566
167855.9740128,543
167855.9919687,522
167856.0128883,498
167856.0308393,471
167856.0517874,442
167856.0727328,412
167856.0907094,388
167856.1116244,368
167856.1295678,353
167856.1505169,340
167856.1715155,324
167856.1894342,307
167856.2103557,287
167856.2282991,267
167856.2492526,248
167856.2697203,233
167856.2876754,220
167856.3086188,210
167856.3295578,201
167856.3475179,189
167856.3684495,175
167856.3864113,158
167856.4073947,139
167856.4283007,120
167856.4462478,99
167856.4671899,76
167856.4851413,54
167856.5060885,35
167856.5270236,23
167856.5449791,21
167856.5654603,25
167856.5863947,30
167856.6043516,27
167856.6252906,17
167856.64325,10
167856.6641918,0
167856.6851332,0
167856.7031382,0
167856.7240437,0
167856.7419948,0
167856.7629203,0
167856.7838691,0
167856.8018185,0
167856.8227696,0
167856.8407223,0
167856.8616795,0
167856.8826042,0
167856.9005553,0
167856.9210362,0
167856.9419968,0
167856.9599301,0
167856.9808707,0
167856.9988251,0
167857.019799,7
167857.040715,22
167857.0586569,45
167857.079602,74
167857.097549,106
167857.1184962,135
167857.1394611,163
167857.1574198,188
167857.1778772,208
167857.198828,224
167857.2167905,239
167857.237723,255
167857.2556821,275
167857.2766215,299
167857.2975548,330
167857.315554,365
167857.336455,402
167857.3544124,437
167857.3753515,468
167857.3963212,492
167857.414239,511
167857.4351793,527
167857.4531331,542
167857.4736191,557
167857.4945447,571
167857.5125,583
167857.5334417,594
167857.5543851,604
167857.5723587,618
167857.5932836,632
167857.6112634,649
167857.6321809,661
167857.653115,670
167857.6710709,674
167857.6920663,677
167857.7099829,681
167857.7309218,684
167857.7518725,686
167857.7698163,687
167857.7907701,687
167857.8087214,686
167857.8296497,689
167857.8505897,693
167857.868545,697
167857.8879965,700
167857.9091058,698
167857.9295584,693
167857.9469777,686
167857.9671402,680
167857.9880795,676
167858.0060533,676
167858.0269789,680
167858.0479161,693
167858.0659021,710
167858.0868227,732
167858.1047669,750
167858.1257199,762
167858.1466837,765
167858.1646168,765
167858.1855416,762
167858.2034992,761
167858.2244584,761
167858.2453917,762
167858.2633842,761
167858.2843202,759
167858.3022749,755
167858.3232172,752
167858.3441467,749
167858.3621479,743
167858.3830413,735
167858.4009795,720
167858.4219345,706
167858.442911,699
167858.4603824,699
167858.4824152,708
167858.50035,718
167858.5212922,727
167858.5392446,733
167858.5601916,739
167858.5811291,746
167858.5990818,753
167858.6200302,761
167858.6379724,764
167858.6589538,766
167858.6799589,763
167858.697934,761
167858.71879,761
167858.7397448,764
167858.7576697,771
167858.7786153,781
167858.79658,794
167858.8175016,808
167858.8384423,821
167858.855642,832
167858.8765834,836
167858.897556,830
167858.9149972,815
167858.9359354,792
167858.9554954,769
167858.9754387,746
167858.9954231,727
167859.0133629,709
167859.0335988,687
167859.0544989,663
167859.0754501,632
167859.0934189,601
167859.114345,569
167859.1346971,541
167859.1519624,517
167859.1729194,497
167859.1938535,478
167859.2118137,461
167859.2329836,441
167859.2504658,423
167859.2709255,404
167859.2918871,384
167859.3116507,364
167859.3295929,342
167859.3505299,322
167859.3708943,301
167859.3896977,281
167859.4106465,263
167859.4285988,246
167859.4495538,229
167859.4687677,207
167859.4887858,183
167859.5097499,155
167859.5271084,128
167859.5496388,108
167859.5675835,94
167859.5880594,86
167859.6060368,79
167859.6269778,66
167859.6479164,47
167859.6654065,25
167859.6863382,11
167859.7072829,0
167859.7252705,0
167859.7461899,0
167859.7641372,0
167859.785082,0
167859.8060177,0
167859.8239984,0
167859.8442007,0
167859.865142,1
167859.8831024,14
167859.904024,29
167859.9228923,59
167859.943883,90
167859.9618067,123
167859.9823298,155
167860.0032361,187
167860.0211971,220
167860.0421807,254
167860.0631058,288
167860.0810205,321
167860.1019609,352
167860.1199726,380
167860.1406035,406
167860.1615502,430
167860.1790189,454
167860.1999598,475
167860.2203862,494
167860.2383243,508
167860.2592778,523
167860.2802307,536
167860.3001936,555
167860.3181407,577
167860.3390829,605
167860.3570804,632
167860.3780027,659
167860.3989384,680
167860.4168886,697
167860.4378456,711
167860.4557731,724
167860.4762914,738
167860.4972064,752
167860.5151619,764
167860.5360975,773
167860.5570372,778
167860.5749918,782
167860.5959468,787
167860.6139126,793
167860.6348349,801
167860.6557752,807
167860.6737362,812
167860.6946824,814
167860.7126216,818
167860.7335694,821
167860.754533,825
167860.7720003,830
167860.7929546,836
167860.8138829,839
167860.831841,843
167860.8527958,844
167860.8707372,844
167860.8916782,843
167860.9121683,840
167860.9301237,838
167860.951058,830
167860.9710697,823
167860.9890252,814
167861.0099782,806
167861.0309108,803
167861.0480571,806
167861.068484,816
167861.0894373,830
167861.1073757,843
167861.1283692,852
167861.1492705,853
167861.1672232,851
167861.1881661,849
167861.2061307,847
167861.2270926,849
167861.24801,848
167861.2659579,847
167861.2869101,841
167861.3048616,833
167861.3258144,825
167861.3467468,819
167861.364719,816
167861.3851723,813
167861.4061117,809
167861.424102,804
167861.4450207,796
167861.4629645,790
167861.4839082,783
167861.5048863,782
167861.5228051,780
167861.5437622,782
167861.5617178,782
167861.5826505,781
167861.6035909,778
167861.621545,774
167861.6424833,768
167861.6604494,763
167861.6829012,759
167861.7008488,753
167861.7217938,746
167861.7397064,736
167861.7606633,726
167861.7815957,718
167861.799576,716
167861.8205016,722
167861.8384483,733
167861.859385,746
167861.8803633,757
167861.8982911,759
167861.9187644,757
167861.9382607,751
167861.9591865,747
167861.9766814,744
167861.9976302,746
167862.0185631,744
167862.0365272,743
167862.0573967,737
167862.0753488,731
167862.0963253,726
167862.1172318,721
167862.1351806,719
167862.1561203,715
167862.1740691,709
167862.1950575,701
167862.215957,693
167862.2339062,683
167862.2548421,675
167862.2727981,667
167862.2933023,659
167862.3142366,647
167862.3321749,635
167862.3531189,619
167862.3740696,602
167862.3920087,582
167862.4129595,562
167862.430907,541
167862.4518487,519
167862.4727941,496
167862.4907764,471
167862.5117086,444
167862.5296808,416
167862.5505861,389
167862.5711078,365
167862.5890191,348
167862.6099637,337
167862.6309129,332
167862.6488938,323
167862.6698021,311
167862.6877548,291
167862.7087041,269
167862.7297428,249
167862.7476032,233
167862.7685388,222
167862.7865013,212
167862.8074349,200
167862.8283852,184
167862.8463441,167
167862.8672731,148
167862.8877506,131
167862.9056977,116
167862.9266387,101
167862.9446881,86
167862.9655518,71
167862.9846308,53
167863.0049504,37
167863.025886,19
167863.0438517,10
167863.0647784,1
167863.0827379,0
167863.1037195,0
167863.1246244,0
167863.1425736,0
167863.1635297,0
167863.1814604,0
167863.2024021,0
167863.2233586,0
167863.2413055,0
167863.2622664,0
167863.2802018,0
167863.301153,0
167863.3221052,0
167863.3400837,0
167863.3609983,0
167863.3789375,0
167863.3998797,0
167863.421147,7
167863.4391304,20
167863.4600484,38
167863.4800829,64
167863.4987284,90
167863.5196994,119
167863.5376173,152
167863.5585718,185
167863.5765194,217
167863.5975175,244
167863.6184616,267
167863.6363592,289
167863.6572949,312
167863.6752599,336
167863.6962273,360
167863.7171399,381
167863.7350911,398
167863.7560415,412
167863.7765384,424
167863.7944817,436
167863.8154627,449
167863.8347108,466
167863.8547791,487
167863.8757056,514
167863.8936862,543
167863.9141585,573
167863.9321066,601
167863.9518137,625
167863.9735395,649
167863.9935604,668
167864.0117717,687
167864.0312973,701
167864.0522245,711
167864.073167,716
167864.0911282,719
167864.1121083,720
167864.1300653,728
167864.1510023,741
167864.1719049,759
167864.1898545,778
167864.2107943,794
167864.2287627,803
167864.2497098,806
167864.2706437,805
167864.2885916,803
167864.3095416,803
167864.327495,805
167864.348436,806
167864.3693715,805
167864.3873202,803
167864.4082878,799
167864.4262214,796
167864.4471971,796
167864.4681139,797
167864.486065,798
167864.507017,801
167864.5249648,799
167864.5459224,796
167864.5668613,792
167864.5848153,786
167864.6057498,784
167864.6237021,782
167864.6446473,783
167864.6655993,785
167864.6835365,787
167864.7044783,788
167864.722424,789
167864.7434046,789
167864.7643381,787
167864.7822686,784
167864.8032193,781
167864.8211725,776
167864.8421192,769
167864.8633925,758
167864.8813526,747
167864.9023142,737
167864.9197599,733
167864.9407051,737
167864.9616794,748
167864.980588,763
167865.0005518,776
167865.0185121,782
167865.0394379,783
167865.0580091,777
167865.0784812,772
167865.0994156,770
167865.1198668,769
167865.137834,770
167865.1585732,768
167865.1795465,764
167865.1974936,756
167865.2184268,750
167865.2379553,744
167865.2558981,741
167865.2768816,737
167865.2967863,733
167865.3172424,728
167865.3351926,724
167865.3561467,720
167865.3748229,719
167865.3946305,719
167865.4155833,719
167865.4335336,720
167865.4535433,719
167865.4731787,722
167865.4941109,722
167865.5150644,724
167865.5330098,721
167865.5539492,717
167865.5719056,713
167865.592362,706
167865.6133302,702
167865.631273,695
167865.6522115,687
167865.6731584,677
167865.6911086,667
167865.711208,660
167865.7321682,659
167865.7501322,665
167865.7710363,674
167865.7889802,681
167865.8099417,679
167865.8309056,667
167865.8488278,644
167865.8697655,622
167865.8877188,600
167865.9081955,585
167865.9286764,573
167865.9496464,561
167865.9672452,544
167865.9879294,523
167866.0088801,498
167866.0283573,473
167866.0463309,449
167866.0672979,425
167866.0852704,402
167866.1061554,378
167866.1271063,356
167866.1450526,334
167866.1660146,316
167866.1869405,301
167866.2044188,285
167866.2253502,271
167866.2432994,254
167866.263468,238
167866.2844028,221
167866.3045789,203
167866.3225399,186
167866.3434757,168
167866.3644271,149
167866.3823743,132
167866.403318,115
167866.4212636,97
167866.4422092,79
167866.4631869,58
167866.4811129,36
167866.5015898,18
167866.5225391,6
167866.5404973,0
167866.5614259,0
167866.5793682,0
167866.6003181,0
167866.6213036,0
167866.6392176,0
167866.6601607,0
167866.6781051,0
167866.699058,0
167866.7199985,0
167866.7379451,0
167866.7588914,0
167866.7768378,0
167866.7974656,0
167866.8183637,0
167866.8363619,0
167866.8572593,0
167866.8782073,0
167866.8961568,0
167866.9166665,0
167866.9375795,0
167866.9555461,0
167866.9764645,0
167866.9944237,0
167867.0153775,0
167867.0362962,0
167867.0542584,16
167867.0752123,31
167867.0936039,61
167867.1145378,91
167867.1323146,119
167867.1532269,151
167867.1741806,180
167867.192118,213
167867.2130942,240
167867.2310296,262
167867.2519693,279
167867.272915,292
167867.2908546,307
167867.3118045,326
167867.3297677,350
167867.3507052,379
167867.3716438,411
167867.3895928,439
167867.4100676,467
167867.431013,489
167867.4489637,508
167867.4699042,527
167867.4878559,547
167867.5088261,570
167867.5297349,593
167867.5477008,615
167867.5686445,633
167867.5865998,649
167867.6075249,663
167867.6284685,678
167867.6464353,693
167867.6673788,709
167867.6853251,722
167867.7058105,732
167867.7267537,741
167867.7446986,747
167867.7656558,752
167867.7865818,758
167867.8045407,763
167867.8255095,768
167867.8434383,774
167867.8643845,778
167867.8853222,782
167867.9032683,785
167867.923756,788
167867.9447093,788
167867.9626531,788
167867.9828993,787
167868.0035345,785
167868.0214807,781
167868.0424162,777
167868.0633594,771
167868.0813148,765
167868.1004599,761
167868.120459,761
167868.1414128,767
167868.1593546,778
167868.1802934,790
167868.2012495,801
167868.2191941,808
167868.2401337,809
167868.2610797,808
167868.2790193,804
167868.2995121,804
167868.3174648,803
167868.338399,803
167868.3593386,802
167868.3772948,798
167868.3982407,792
167868.4161915,786
167868.436739,783
167868.4585997,782
167868.4772233,780
167868.4978015,778
167868.5157623,771
167868.5366986,764
167868.554648,759
167868.575588,755
167868.5960758,755
167868.6140182,756
167868.6349595,758
167868.6559224,758
167868.6738709,758
167868.6948162,756
167868.7127555,754
167868.7337269,751
167868.7546387,747
167868.7725975,744
167868.7935412,740
167868.8114947,734
167868.8324438,728
167868.8533941,719
167868.871342,710
167868.8922792,703
167868.9102258,700
167868.9312146,705
167868.95106,716
167868.9719702,730
167868.9890797,743
167869.0100132,751
167869.0309466,751
167869.0489132,747
167869.0698516,742
167869.0878202,740
167869.1087455,741
167869.128829,741
167869.1492951,740
167869.1672265,736
167869.1881614,729
167869.2078052,723
167869.228339,719
167869.2462881,718
167869.2672386,716
167869.2881725,716
167869.3078285,712
167869.3257803,708
167869.3467272,704
167869.3672628,702
167869.3844572,702
167869.4053331,703
167869.4263092,703
167869.4442333,704
167869.4652054,703
167869.483946,704
167869.5044136,704
167869.5223471,703
167869.5432968,702
167869.5642491,697
167869.5822083,692
167869.6020645,685
167869.6230028,676
167869.6409556,663
167869.6619254,648
167869.6816635,631
167869.7026162,614
167869.7205577,600
167869.7415124,594
167869.7618279,591
167869.7797757,592
167869.8002542,588
167869.8209943,576
167869.8389725,554
167869.8595052,529
167869.8804653,505
167869.8984121,487
167869.9189195,470
167869.9398389,458
167869.9577817,442
167869.9776526,423
167869.9967249,403
167870.0171101,382
167870.0380356,365
167870.0559963,349
167870.076974,333
167870.0969265,319
167870.1161346,302
167870.1364781,286
167870.1574536,270
167870.174453,255
167870.1953631,239
167870.216319,223
167870.2342814,206
167870.2551987,189
167870.2731566,172
167870.2936343,157
167870.3129655,142
167870.333927,129
167870.3548553,115
167870.3728108,99
167870.3928195,81
167870.4137532,60
167870.4317235,37
167870.4526553,19
167870.472085,6
167870.4913076,0
167870.5122523,0
167870.5301962,0
167870.5511488,0
167870.5720909,0
167870.5900268,0
167870.6110009,0
167870.6289267,0
167870.6498658,0
167870.6708149,0
167870.6887902,0
167870.7097126,0
167870.7276623,0
167870.7486056,0
167870.7696071,0
167870.7875061,0
167870.8084722,0
167870.8264104,0
167870.8473744,0
167870.868311,0
167870.8862526,0
167870.9071813,0
167870.9276875,0
167870.945615,14
167870.9665769,33
167870.9868569,66
167871.0048078,101
167871.0257508,134
167871.0437054,166
167871.0646385,198
167871.0856043,229
167871.1035431,261
