time_lsl,BreathingValue
167917.0308019952,578.0
167917.05055563175,553.0
167917.0703092683,529.0
167917.0900629049,504.0
167917.10981654146,484.0
167917.12957017802,459.0
167917.14932381458,436.0
167917.16907745117,410.0
167917.18883108773,385.0
167917.20858472429,361.0
167917.22833836084,338.0
167917.24809199743,318.0
167917.267845634,300.0
167917.28759927055,283.0
167917.3073529071,266.0
167917.32710654367,248.0
167917.34686018026,229.0
167917.36661381682,211.0
167917.38636745338,193.0
167917.40612108994,176.0
167917.42587472653,157.0
167917.4456283631,137.0
167917.46538199965,115.0
167917.4851356362,95.0
167917.5048892728,77.0
167917.52464290935,68.0
167917.5443965459,63.0
167917.56415018247,60.0
167917.58390381906,53.0
167917.60365745562,38.0
167917.62341109218,21.0
167917.64316472874,9.0
167917.6629183653,0.0
167917.6826720019,0.0
167917.70242563845,0.0
167917.722179275,0.0
167917.74193291157,0.0
167917.76168654815,0.0
167917.7814401847,0.0
167917.80119382127,0.0
167917.82094745783,0.0
167917.84070109442,0.0
167917.86045473098,0.0
167917.88020836754,0.0
167917.8999620041,0.0
167917.91971564066,0.0
167917.93946927725,0.0
167917.9592229138,0.0
167917.97897655037,0.0
167917.99873018693,0.0
167918.0184838235,0.0
167918.03823746007,0.0
167918.05799109663,0.0
167918.0777447332,0.0
167918.09749836978,0.0
167918.11725200634,0.0
167918.1370056429,0.0
167918.15675927946,0.0
167918.17651291605,0.0
167918.1962665526,0.0
167918.21602018917,0.0
167918.23577382573,0.0
167918.2555274623,0.0
167918.27528109887,11.0
167918.29503473543,29.0
167918.314788372,57.0
167918.33454200855,91.0
167918.35429564514,124.0
167918.3740492817,160.0
167918.39380291826,196.0
167918.41355655482,237.0
167918.4333101914,279.0
167918.45306382797,321.0
167918.47281746453,361.0
167918.4925711011,397.0
167918.51232473765,433.0
167918.53207837424,468.0
167918.5518320108,503.0
167918.57158564735,539.0
167918.5913392839,571.0
167918.6110929205,602.0
167918.63084655706,626.0
167918.65060019362,649.0
167918.67035383018,667.0
167918.69010746677,686.0
167918.70986110333,703.0
167918.7296147399,722.0
167918.74936837645,742.0
167918.76912201304,764.0
167918.7888756496,784.0
167918.80862928616,804.0
167918.82838292271,820.0
167918.84813655927,833.0
167918.86789019586,845.0
167918.88764383242,852.0
167918.90739746898,858.0
167918.92715110554,860.0
167918.94690474213,859.0
167918.9666583787,859.0
167918.98641201525,861.0
167919.0061656518,869.0
167919.0259192884,882.0
167919.04567292496,899.0
167919.06542656152,916.0
167919.08518019808,931.0
167919.10493383463,941.0
167919.12468747122,948.0
167919.14444110778,951.0
167919.16419474434,953.0
167919.1839483809,953.0
167919.2037020175,953.0
167919.22345565405,950.0
167919.2432092906,946.0
167919.26296292717,942.0
167919.28271656376,935.0
167919.30247020032,931.0
167919.32222383688,926.0
167919.34197747344,923.0
167919.36173111,918.0
167919.38148474658,914.0
167919.40123838314,910.0
167919.4209920197,905.0
167919.44074565626,900.0
167919.46049929285,895.0
167919.4802529294,890.0
167919.50000656597,886.0
167919.51976020253,881.0
167919.53951383912,878.0
167919.55926747568,876.0
167919.57902111224,872.0
167919.5987747488,869.0
167919.61852838538,864.0
167919.63828202194,861.0
167919.6580356585,858.0
167919.67778929506,852.0
167919.69754293162,843.0
167919.7172965682,832.0
167919.73705020477,822.0
167919.75680384133,818.0
167919.7765574779,822.0
167919.79631111448,830.0
167919.81606475104,843.0
167919.8358183876,850.0
167919.85557202416,856.0
167919.87532566075,854.0
167919.8950792973,852.0
167919.91483293386,848.0
167919.93458657042,846.0
167919.95434020698,842.0
167919.97409384357,837.0
167919.99384748013,831.0
167920.0136011167,824.0
167920.03335475325,815.0
167920.05310838984,812.0
167920.0728620264,808.0
167920.09261566296,807.0
167920.11236929952,803.0
167920.1321229361,794.0
167920.15187657267,780.0
167920.17163020922,765.0
167920.19138384578,751.0
167920.21113748237,744.0
167920.23089111893,741.0
167920.2506447555,739.0
167920.27039839205,737.0
167920.2901520286,734.0
167920.3099056652,735.0
167920.32965930176,741.0
167920.34941293832,749.0
167920.36916657488,754.0
167920.38892021147,754.0
167920.40867384803,748.0
167920.42842748458,737.0
167920.44818112114,726.0
167920.46793475773,715.0
167920.4876883943,706.0
167920.50744203085,702.0
167920.5271956674,704.0
167920.54694930397,715.0
167920.56670294056,731.0
167920.58645657712,751.0
167920.60621021368,764.0
167920.62596385024,771.0
167920.64571748683,767.0
167920.6654711234,757.0
167920.68522475995,744.0
167920.7049783965,735.0
167920.7247320331,730.0
167920.74448566965,729.0
167920.7642393062,727.0
167920.78399294277,721.0
167920.80374657936,711.0
167920.82350021592,699.0
167920.84325385248,690.0
167920.86300748904,682.0
167920.8827611256,675.0
167920.9025147622,666.0
167920.92226839875,653.0
167920.9420220353,639.0
167920.96177567187,622.0
167920.98152930845,608.0
167921.001282945,596.0
167921.02103658157,589.0
167921.04079021813,583.0
167921.06054385472,581.0
167921.08029749128,578.0
167921.10005112784,571.0
167921.1198047644,560.0
167921.13955840096,539.0
167921.15931203755,517.0
167921.1790656741,490.0
167921.19881931067,463.0
167921.21857294723,436.0
167921.2383265838,407.0
167921.25808022037,378.0
167921.27783385693,352.0
167921.2975874935,329.0
167921.31734113008,312.0
167921.33709476664,296.0
167921.3568484032,279.0
167921.37660203976,257.0
167921.39635567632,232.0
167921.4161093129,204.0
167921.43586294947,175.0
167921.45561658603,148.0
167921.4753702226,126.0
167921.49512385917,106.0
167921.51487749573,89.0
167921.5346311323,70.0
167921.55438476885,47.0
167921.57413840544,26.0
167921.593892042,11.0
167921.61364567856,0.0
167921.63339931512,0.0
167921.6531529517,0.0
167921.67290658827,0.0
167921.69266022483,0.0
167921.7124138614,0.0
167921.73216749795,0.0
167921.75192113454,0.0
167921.7716747711,0.0
167921.79142840765,0.0
167921.8111820442,0.0
167921.8309356808,0.0
167921.85068931736,0.0
167921.87044295392,0.0
167921.89019659048,0.0
167921.90995022707,0.0
167921.92970386363,0.0
167921.9494575002,0.0
167921.96921113675,0.0
167921.9889647733,0.0
167922.0087184099,0.0
167922.02847204646,0.0
167922.04822568301,0.0
167922.06797931957,0.0
167922.08773295616,0.0
167922.10748659272,0.0
167922.12724022928,0.0
167922.14699386584,0.0
167922.16674750243,0.0
167922.186501139,0.0
167922.20625477555,0.0
167922.2260084121,0.0
167922.2457620487,0.0
167922.26551568526,0.0
167922.28526932182,0.0
167922.30502295838,0.0
167922.32477659493,0.0
167922.34453023152,0.0
167922.36428386808,0.0
167922.38403750464,0.0
167922.4037911412,0.0
167922.4235447778,0.0
167922.44329841435,0.0
167922.4630520509,0.0
167922.48280568747,0.0
167922.50255932406,0.0
167922.52231296062,0.0
167922.54206659718,0.0
167922.56182023374,0.0
167922.5815738703,0.0
167922.60132750688,0.0
167922.62108114344,0.0
167922.64083478,0.0
167922.66058841656,0.0
167922.68034205315,0.0
167922.7000956897,0.0
167922.71984932627,0.0
167922.73960296283,0.0
167922.75935659942,0.0
167922.77911023598,0.0
167922.79886387254,0.0
167922.8186175091,0.0
167922.83837114568,0.0
167922.85812478224,0.0
167922.8778784188,0.0
167922.89763205536,0.0
167922.91738569192,0.0
167922.9371393285,0.0
167922.95689296507,0.0
167922.97664660163,0.0
167922.9964002382,0.0
167923.01615387478,0.0
167923.03590751134,0.0
167923.0556611479,0.0
167923.07541478446,0.0
167923.09516842104,0.0
167923.1149220576,0.0
167923.13467569416,0.0
167923.15442933072,0.0
167923.17418296728,0.0
167923.19393660387,0.0
167923.21369024043,0.0
167923.233443877,0.0
167923.25319751355,0.0
167923.27295115014,0.0
167923.2927047867,0.0
167923.31245842326,0.0
167923.33221205982,0.0
167923.3519656964,0.0
167923.37171933296,0.0
167923.39147296952,0.0
167923.41122660608,0.0
167923.43098024264,0.0
167923.45073387923,0.0
167923.4704875158,0.0
167923.49024115235,0.0
167923.5099947889,0.0
167923.5297484255,0.0
167923.54950206206,0.0
167923.56925569862,0.0
167923.58900933518,0.0
167923.60876297177,0.0
167923.62851660833,0.0
167923.64827024488,0.0
167923.66802388144,0.0
167923.68777751803,0.0
167923.7075311546,0.0
167923.72728479115,0.0
167923.7470384277,0.0
167923.76679206427,0.0
167923.78654570086,0.0
167923.80629933742,0.0
167923.82605297398,0.0
167923.84580661054,0.0
167923.86556024713,44.0
167923.8853138837,93.0
167923.90506752025,184.0
167923.9248211568,274.0
167923.9445747934,356.0
167923.96432842995,423.0
167923.9840820665,483.0
167924.00383570307,535.0
167924.02358933963,587.0
167924.04334297622,642.0
167924.06309661278,696.0
167924.08285024934,748.0
167924.1026038859,792.0
167924.1223575225,827.0
167924.14211115905,858.0
167924.1618647956,888.0
167924.18161843217,919.0
167924.20137206875,955.0
167924.2211257053,988.0
167924.24087934187,1008.0
167924.26063297843,1023.0
167924.28038661502,1023.0
167924.30014025158,1023.0
167924.31989388814,1023.0
167924.3396475247,1023.0
167924.35940116126,1023.0
167924.37915479785,1023.0
167924.3989084344,1023.0
167924.41866207097,1023.0
167924.43841570753,1023.0
167924.4581693441,1023.0
167924.47792298067,1023.0
167924.49767661723,1023.0
167924.5174302538,1023.0
167924.53718389038,1023.0
167924.55693752694,1023.0
167924.5766911635,1023.0
167924.59644480006,1023.0
167924.61619843662,1023.0
167924.6359520732,1023.0
167924.65570570977,1023.0
167924.67545934633,1023.0
167924.6952129829,1023.0
167924.71496661947,1023.0
167924.73472025603,1023.0
167924.7544738926,1023.0
167924.77422752915,1023.0
167924.79398116574,1023.0
167924.8137348023,1023.0
167924.83348843886,1023.0
167924.85324207542,1023.0
167924.872995712,1023.0
