time_lsl,x_mG,y_mG,z_mG
167916.59857728114,-874.0,111.0,310.0
167916.6183507339,-873.0,112.0,314.0
167916.63812418666,-873.0,112.0,312.0
167916.6578976394,-873.0,112.0,312.0
167916.67767109215,-875.0,112.0,310.0
167916.69744454493,-875.0,114.0,311.0
167916.71721799768,-876.0,114.0,311.0
167916.73699145042,-875.0,116.0,310.0
167916.7567649032,-876.0,120.0,309.0
167916.77653835595,-877.0,118.0,308.0
167916.79631180872,-874.0,117.0,304.0
167916.81608526147,-874.0,116.0,307.0
167916.8358587142,-875.0,119.0,306.0
167916.855632167,-875.0,117.0,307.0
167916.87540561974,-877.0,115.0,308.0
167916.89517907248,-875.0,116.0,315.0
167916.91495252526,-877.0,117.0,307.0
167916.934725978,-874.0,114.0,299.0
167916.95449943075,-871.0,114.0,305.0
167916.97427288353,-873.0,117.0,309.0
167916.99404633627,-877.0,114.0,309.0
167917.01381978902,-882.0,113.0,309.0
167917.0335932418,-880.0,114.0,314.0
167917.05336669454,-876.0,114.0,314.0
167917.07314014732,-875.0,115.0,313.0
167917.09291360006,-874.0,120.0,309.0
167917.1126870528,-873.0,123.0,308.0
167917.13246050559,-873.0,121.0,307.0
167917.15223395833,-875.0,117.0,313.0
167917.17200741108,-878.0,119.0,315.0
167917.19178086385,-878.0,114.0,314.0
167917.2115543166,-875.0,114.0,316.0
167917.23132776935,-874.0,117.0,316.0
167917.25110122212,-873.0,116.0,311.0
167917.27087467487,-874.0,114.0,313.0
167917.29064812761,-875.0,114.0,313.0
167917.3104215804,-877.0,111.0,314.0
167917.33019503314,-877.0,114.0,311.0
167917.3499684859,-875.0,114.0,314.0
167917.36974193866,-876.0,114.0,312.0
167917.3895153914,-875.0,115.0,310.0
167917.40928884418,-874.0,114.0,310.0
167917.42906229693,-874.0,113.0,310.0
167917.44883574967,-873.0,115.0,312.0
167917.46860920245,-874.0,113.0,315.0
167917.4883826552,-875.0,115.0,316.0
167917.50815610794,-875.0,117.0,315.0
167917.52792956072,-875.0,116.0,310.0
167917.54770301346,-873.0,114.0,310.0
167917.5674764662,-873.0,115.0,316.0
167917.587249919,-875.0,114.0,317.0
167917.60702337173,-876.0,110.0,315.0
167917.6267968245,-875.0,109.0,314.0
167917.64657027725,-875.0,114.0,312.0
167917.66634373,-874.0,113.0,304.0
167917.68611718278,-871.0,112.0,303.0
167917.70589063552,-871.0,112.0,312.0
167917.72566408827,-876.0,113.0,318.0
167917.74543754105,-880.0,112.0,317.0
167917.7652109938,-883.0,112.0,318.0
167917.78498444654,-877.0,108.0,316.0
167917.8047578993,-872.0,111.0,313.0
167917.82453135206,-871.0,112.0,312.0
167917.8443048048,-872.0,116.0,313.0
167917.86407825758,-874.0,113.0,312.0
167917.88385171033,-877.0,115.0,317.0
167917.9036251631,-879.0,112.0,316.0
167917.92339861585,-877.0,110.0,316.0
167917.9431720686,-872.0,113.0,317.0
167917.96294552137,-871.0,114.0,321.0
167917.98271897412,-872.0,113.0,321.0
167918.00249242687,-874.0,114.0,319.0
167918.02226587964,-874.0,111.0,317.0
167918.0420393324,-873.0,107.0,318.0
167918.06181278513,-873.0,108.0,318.0
167918.0815862379,-873.0,108.0,318.0
167918.10135969066,-873.0,110.0,314.0
167918.1211331434,-874.0,111.0,315.0
167918.14090659618,-874.0,111.0,313.0
167918.16068004892,-875.0,110.0,314.0
167918.1804535017,-874.0,109.0,312.0
167918.20022695445,-873.0,109.0,312.0
167918.2200004072,-873.0,110.0,309.0
167918.23977385997,-872.0,111.0,310.0
167918.25954731271,-875.0,113.0,309.0
167918.27932076546,-874.0,112.0,308.0
167918.29909421824,-875.0,110.0,308.0
167918.31886767098,-878.0,109.0,307.0
167918.33864112373,-877.0,105.0,304.0
167918.3584145765,-875.0,102.0,309.0
167918.37818802925,-877.0,105.0,313.0
167918.397961482,-876.0,103.0,303.0
167918.41773493477,-873.0,100.0,302.0
167918.43750838752,-871.0,100.0,309.0
167918.4572818403,-871.0,98.0,313.0
167918.47705529304,-873.0,101.0,318.0
167918.4968287458,-874.0,102.0,320.0
167918.51660219856,-874.0,108.0,319.0
167918.5363756513,-873.0,113.0,321.0
167918.55614910406,-873.0,116.0,315.0
167918.57592255683,-874.0,117.0,310.0
167918.59569600958,-875.0,116.0,301.0
167918.61546946233,-875.0,120.0,298.0
167918.6352429151,-878.0,123.0,296.0
167918.65501636785,-879.0,128.0,293.0
167918.6747898206,-876.0,126.0,294.0
167918.69456327337,-875.0,128.0,299.0
167918.71433672612,-875.0,130.0,304.0
167918.7341101789,-878.0,135.0,304.0
167918.75388363164,-879.0,134.0,303.0
167918.77365708438,-877.0,133.0,300.0
167918.79343053716,-877.0,137.0,300.0
167918.8132039899,-876.0,139.0,300.0
167918.83297744265,-876.0,137.0,296.0
167918.85275089543,-875.0,142.0,296.0
167918.87252434817,-877.0,142.0,299.0
167918.89229780092,-878.0,141.0,295.0
167918.9120712537,-878.0,143.0,290.0
167918.93184470644,-876.0,142.0,293.0
167918.9516181592,-877.0,141.0,298.0
167918.97139161197,-879.0,140.0,297.0
167918.9911650647,-880.0,141.0,300.0
167919.0109385175,-880.0,142.0,300.0
167919.03071197023,-877.0,142.0,300.0
167919.05048542298,-878.0,146.0,300.0
167919.07025887576,-877.0,143.0,296.0
167919.0900323285,-877.0,139.0,290.0
167919.10980578125,-878.0,141.0,292.0
167919.12957923402,-879.0,141.0,290.0
167919.14935268677,-879.0,143.0,286.0
167919.16912613952,-875.0,144.0,287.0
167919.1888995923,-873.0,148.0,292.0
167919.20867304504,-876.0,150.0,291.0
167919.2284464978,-877.0,146.0,288.0
167919.24821995056,-878.0,142.0,294.0
167919.2679934033,-876.0,141.0,299.0
167919.28776685608,-877.0,140.0,300.0
