time_lsl,uV
80937.96613642169,-19.0
80937.97381874775,-26.0
80937.98150107381,-39.0
80937.98918339988,-53.0
80937.99686572595,-63.0
80938.004548052,-75.0
80938.01223037807,-83.0
80938.01991270414,-88.0
80938.0275950302,-90.0
80938.03527735626,-95.0
80938.04295968232,-97.0
80938.0506420084,-97.0
80938.05832433446,-95.0
80938.06600666052,-90.0
80938.07368898658,-85.0
80938.08137131266,-80.0
80938.08905363872,-75.0
80938.09673596478,-75.0
80938.10441829084,-73.0
80938.1121006169,-70.0
80938.11978294297,-66.0
80938.12746526903,-66.0
80938.1351475951,-66.0
80938.14282992115,-66.0
80938.15051224723,-66.0
80938.15819457329,-66.0
80938.16587689935,-68.0
80938.17355922541,-70.0
80938.18124155149,-73.0
80938.18892387755,-75.0
80938.19660620361,-78.0
80938.20428852967,-78.0
80938.21197085574,-78.0
80938.2196531818,-75.0
80938.22733550787,-78.0
80938.23501783393,-78.0
80938.24270015999,-75.0
80938.25038248606,-73.0
80938.25806481212,-70.0
80938.26574713818,-70.0
80938.27342946424,-70.0
80938.28111179032,-70.0
80938.28879411638,-68.0
80938.29647644244,-66.0
80938.3041587685,-63.0
80938.31184109458,-70.0
80938.31952342064,-75.0
80938.3272057467,-73.0
80938.33488807276,-56.0
80938.34257039883,-31.0
80938.3502527249,-17.0
80938.35793505095,-24.0
80938.36561737701,-39.0
80938.37329970307,-51.0
80938.38098202915,-58.0
80938.38866435521,-61.0
80938.39634668127,-58.0
80938.40402900733,-58.0
80938.4117113334,-61.0
80938.41939365947,-58.0
80938.42707598553,-58.0
80938.43475831159,-56.0
80938.44244063766,-51.0
80938.45012296372,-53.0
80938.45780528979,-66.0
80938.46548761585,-73.0
80938.47316994192,56.0
80938.48085226798,445.0
80938.48853459404,836.0
80938.4962169201,755.0
80938.50389924616,217.0
80938.51158157224,-151.0
80938.5192638983,-119.0
80938.52694622436,-78.0
80938.53462855042,-139.0
80938.5423108765,-134.0
80938.54999320256,-110.0
80938.55767552862,-122.0
80938.56535785468,-119.0
80938.57304018075,-102.0
80938.58072250681,-100.0
80938.58840483287,-100.0
80938.59608715893,-95.0
80938.603769485,-92.0
80938.61145181107,-88.0
80938.61913413713,-80.0
80938.62681646319,-78.0
80938.63449878925,-78.0
80938.64218111533,-68.0
80938.64986344139,-58.0
80938.65754576745,-51.0
80938.66522809351,-44.0
80938.67291041958,-34.0
80938.68059274564,-26.0
80938.6882750717,-22.0
80938.69595739777,-17.0
80938.70363972384,-17.0
80938.7113220499,-14.0
80938.71900437596,-12.0
80938.72668670202,-14.0
80938.73436902808,-17.0
80938.74205135416,-19.0
80938.74973368022,-19.0
80938.75741600628,-22.0
80938.76509833234,-29.0
80938.77278065842,-44.0
80938.78046298448,-53.0
80938.78814531054,-63.0
80938.7958276366,-73.0
80938.80350996267,-80.0
80938.81119228873,-83.0
80938.8188746148,-83.0
80938.82655694085,-85.0
80938.83423926693,-88.0
80938.84192159299,-90.0
80938.84960391905,-88.0
80938.85728624511,-85.0
80938.86496857117,-80.0
80938.87265089725,-78.0
80938.88033322331,-73.0
80938.88801554937,-68.0
80938.89569787543,-63.0
80938.9033802015,-61.0
80938.91106252756,-56.0
80938.91874485362,-51.0
80938.92642717969,-51.0
80938.93410950576,-53.0
80938.94179183182,-53.0
80938.94947415788,-56.0
80938.95715648394,-56.0
