time_lsl,bpm
80938.55821010111,80.0
80939.53655145342,80.0
80940.57081436094,79.0
80941.51573157383,79.0
80942.58233190885,79.0
80943.5854294546,78.0
80944.53159311984,77.0
80945.52182464524,76.0
80946.55394869966,76.0
80947.55354030016,75.0
80948.53460033955,75.0
80949.5292449929,74.0
80950.52465020152,75.0
80951.55777775975,76.0
80952.59213818047,76.0
80953.57970919291,77.0
80954.52399841126,78.0
80955.56157676758,78.0
80956.54905956514,78.0
80957.54094666916,77.0
80958.52711458826,77.0
80959.51738545272,77.0
80960.55608533004,75.0
80961.54898928932,75.0
80962.53801894665,75.0
80963.52641822526,74.0
80964.56058266589,74.0
80965.54997710366,74.0
80966.5401425871,73.0
80967.53219443838,73.0
80968.5189107202,73.0
80969.55329903589,73.0
80970.5442877787,72.0
80971.53930722606,72.0
80972.53365218725,73.0
80973.56634916151,73.0
80974.55432024034,73.0
80975.5894331101,73.0
80976.5333830588,73.0
80977.52201598762,74.0
80978.55544013856,74.0
80979.57964416611,75.0
80980.53485963123,75.0
80981.52665971247,75.0
80982.56547116968,75.0
80983.55654741212,74.0
80984.5896446912,74.0
80985.59706047429,74.0
80986.52227072247,74.0
80987.55620628127,74.0
80988.54775769194,75.0
80989.54399951137,75.0
80990.56869468119,76.0
80991.55826650237,76.0
80992.59270846224,76.0
80993.53671801559,76.0
80994.52643264951,75.0
80995.51643720041,75.0
80996.5503443874,74.0
80997.53990166505,74.0
80998.54134387059,74.0
80999.51961560466,74.0
81000.55413576582,75.0
81001.59012267811,75.0
81002.57951711587,75.0
81003.57008123519,75.0
81004.51585031768,75.0
81005.54989888688,75.0
81006.53986910552,76.0
81007.53118114393,76.0
81008.52048665156,75.0
81009.5545216309,76.0
81010.58926495185,76.0
81011.5340147949,76.0
81012.53342376677,76.0
81013.51564490466,76.0
81014.55560410893,76.0
81015.63917460178,75.0
81016.53968706906,75.0
81017.53901640912,74.0
81018.56388014088,74.0
81019.5513417192,73.0
81020.54104920055,72.0
81021.54021093235,72.0
81022.5856101334,72.0
81023.55334829612,72.0
81024.54428124898,73.0
81025.5387611551,72.0
81026.57967498737,72.0
81027.53354505643,72.0
81028.60141425514,72.0
81029.54678947013,73.0
81030.53436811197,73.0
81031.52234515126,73.0
81032.55820546327,73.0
81033.55013619791,74.0
81034.53921139319,74.0
81035.5389083747,74.0
81036.52257480603,75.0
81037.5542749522,76.0
81038.54469625879,77.0
81039.53115814799,78.0
81040.52033967795,79.0
81041.55640002315,80.0
81042.54370710623,80.0
81043.53292344531,80.0
81044.53394078894,80.0
81045.51271940091,80.0
81046.55036356076,80.0
81047.5429487544,79.0
81048.53010706427,79.0
81049.57045894396,78.0
81050.55457241012,78.0
81051.62274559253,78.0
81052.623360724,77.0
81053.522488933,77.0
81054.51300250758,77.0
81055.54548776614,77.0
81056.5359252852,77.0
81057.53104558362,77.0
81058.53271571732,77.0
81059.55777757493,77.0
81060.54665154491,77.0
81061.53584022744,77.0
81062.52460452488,76.0
81063.51395652413,76.0
81064.54893707158,76.0
81065.5367939479,76.0
81066.5263018729,76.0
81067.52742221336,76.0
81068.55729702687,76.0
81069.5486374371,76.0
81070.53767734642,76.0
81071.52786404912,76.0
81072.51634844315,76.0
81073.55039486659,76.0
81074.53963123284,76.0
81075.52800476222,76.0
81076.51793540338,76.0
81077.55284323315,77.0
81078.54331889917,77.0
81079.53888313299,77.0
81080.53201859671,77.0
81081.53090137878,77.0
81082.55350084926,77.0
81083.54205986831,77.0
81084.5320448689,77.0
