LSL_Timestamp,BreathingValue
6580.1701909,0
6580.1703193,909
6580.1704195,895
6580.170515,765
6580.1706102,741
6580.1756977,723
6580.1955128,718
6580.2151886,723
6580.2350251,734
6580.2547402,743
6580.2744373,747
6580.2941633,744
6580.3139319,738
6580.333664,728
6580.3534353,717
6580.3731743,708
6580.3929529,700
6580.4126753,695
6580.4324292,695
6580.4521913,695
6580.4719567,698
6580.4916863,697
6580.5114336,696
6580.5311765,694
6580.5509229,690
6580.5706637,688
6580.5904338,683
6580.6101876,678
6580.6299272,672
6580.6496831,661
6580.6694334,647
6580.6891986,629
6580.7089331,612
6580.7287153,603
6580.7484234,605
6580.7681729,622
6580.7879428,650
6580.807705,682
6580.8274518,710
6580.8471965,727
6580.8670155,732
6580.886671,724
6580.9064251,711
6580.9261678,695
6580.9458951,687
6580.9656461,685
6580.9854184,692
6581.005172,699
6581.0249301,705
6581.0446709,704
6581.064439,700
6581.0841826,691
6581.1039637,683
6581.1236394,675
6581.1433986,668
6581.1631664,664
6581.1828994,662
6581.2026954,664
6581.2224155,668
6581.2421457,672
6581.2618797,675
6581.2816583,674
6581.3013989,670
6581.3211594,662
6581.3408808,656
6581.3606588,648
6581.3803821,643
6581.4001489,637
6581.4198847,628
6581.4396611,614
6581.4593944,594
6581.4791462,570
6581.4988883,546
6581.5186093,528
6581.5383795,518
6581.5581365,520
6581.5778884,526
6581.5976228,528
6581.6174,520
6581.6371193,500
6581.656911,472
6581.6766225,442
6581.6963585,415
6581.7161392,392
6581.7358844,373
6581.7556471,354
6581.7753846,334
6581.7951156,313
6581.8148717,293
6581.8346143,274
6581.8544273,258
6581.8741129,240
6581.8938601,223
6581.9136287,204
6581.9333466,186
6581.9531333,167
6581.9728762,149
6581.9926395,132
6582.0123902,116
6582.032131,102
6582.0518662,88
6582.0716359,74
6582.091377,61
6582.1111308,45
6582.1308471,31
6582.1506334,15
6582.1704082,8
6582.1902293,0
6582.2098506,0
6582.2296433,0
6582.249374,0
6582.2690954,0
6582.2888727,0
6582.3086458,0
6582.3283812,0
6582.3481122,0
6582.3678451,0
6582.3875953,0
6582.4073555,0
6582.4271142,0
6582.4468608,0
